"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
189,568.2242,2.888245,NA,NA,0,NA,14140.4627754006,14567.2386389879,12590.5238815989,15996.84077812,11315.2544329138,26214.5747676268
191,322.21395,1.908081,NA,NA,1.49697238475291,NA,6976572.8908327,6343282.50457636,6517987.03920322,4997633.27100869,5139707.70072139,4698335.82286664
192,326.2339,2.627875,"C18H33NO4","(9E)-10-nitrooctadecenoic Acid",4.07151709271676,NA,63942.4576561465,70230.1057964081,71259.5890557602,5966917.88952602,6023219.24652299,5238609.53395197
193,313.1814,3.9919,"C20H26O3","4-oxo-Retinoic acid",1.61189879842948,NA,6665277.53943875,6316485.06215075,6301304.7753484,5093241.06413499,5027982.74972782,5082623.7156742
194,295.175,1.914331,NA,NA,1.82422734039846,NA,7216377.82770611,7114415.31088083,6609272.17643937,5205453.07593265,5286882.35206961,5053138.79324771
195,255.2253,2.318256,NA,NA,3.3086178785028,NA,2121.04740232564,2439.6676119538,962.820539606912,3749826.42862125,3802968.7721255,4130485.62691887
197,285.2713,2.276581,NA,NA,2.4840731967758,NA,6759380.71879238,6486548.23389099,6823594.47740656,3392231.95475941,3634439.39813111,3050785.85855661
198,238.8914,13.78368,"H3O9P3","Trimetaphosphoric acid",2.13172007526393,NA,3085352.38022862,2860605.30534878,2332555.18719731,5622458.56590105,5668479.66459538,4862677.50291138
199,278.2491,2.516109,"C18H33NO","Linoleamide",0,NA,6677667.00989053,5872264.38145044,6383681.88365654,5324811.15886346,5557791.5405533,5415402.28497815
200,158.9253,14.01414,NA,NA,3.01669402731758,NA,6690252.40480397,6137054.45595332,6178637.67152557,13281.2955944477,4955.78242463598,4906.4343462338
201,129.0193,9.099523,"C5H6O4","Glutaconic acid",1.46896838107325,NA,3217325.1163425,3248425.7613106,3680159.36590612,5646907.0569962,4656696.97467622,4188998.06960198
202,215.0328,11.59692,NA,NA,1.63648203341743,NA,5918081.08043516,5500073.35872747,5344702.12857034,5867031.22892731,6014224.28364949,5823278.50500534
204,175.0612,11.87121,"C7H12O5","2-Isopropylmalic acid",2.66292028819907,NA,2943804.66157565,2648216.40133937,2456098.69038358,5588763.67683944,5380885.38730176,5238239.71943165
208,313.2387,2.470786,"C18H34O4","Octadecanedioic acid",3.40029155377583,NA,356829.62719213,340406.877469208,450774.295241305,5668742.06238595,5727919.1930748,5292904.14471124
209,548.8989,13.45558,NA,NA,3.83752520956188,NA,5762310.12642523,5649665.55184495,6402712.26983408,32669.8589837627,37789.0460546458,44576.1673921913
210,240.0631,2.505181,NA,NA,0,NA,4486015.25591872,5675945.05116934,6436017.66157239,124548.904302098,688382.767622162,2033243.15229479
211,299.0266,2.712258,NA,NA,0,NA,4076056.52829112,4746395.01264082,6169853.73454282,150468.673390156,699377.241490226,2090011.62755576
212,225.1862,2.3483,"C14H26O2","5-Tetradecenoic acid",4.35181569423542,NA,747979.606500615,746236.415124192,778383.900118541,5245620.63433616,5383889.25104518,5462376.51462734
213,689.4957,4.115756,NA,NA,3.26183010193611,NA,6086243.70629531,5628219.81764329,5756973.2415124,4202.81408455693,9991.06013229231,8621.9287163938
214,232.8833,13.71144,NA,NA,0,NA,3444629.41214264,4832391.3508969,6186477.62335325,1582477.99436688,3693093.48128785,5745533.76087351
215,309.2802,2.253203,"C20H38O2","11Z-Eicosenoic acid",3.52582745904561,NA,227966.696592415,186809.072458009,234395.83505962,4804216.2522714,5622849.49734345,4566310.09272102
216,330.8798,13.9484,NA,NA,3.55926404081667,NA,5027652.83296772,5633133.60830955,6074589.89931159,9462.06967442544,6571.05708864081,10976.5912930421
217,157.0505,9.527802,"C7H10O4","Succinylacetone",3.0589559089021,NA,922889.518596496,1100035.34501091,1020250.73506144,4319696.98668281,5033650.08497021,5584170.06091343
218,224.0599,11.11942,NA,NA,2.33077612606919,NA,17186.6038465164,45474.3595088893,99229.2155014778,4814532.84401942,4912329.59398218,5402196.01381838
219,188.0564,13.144,"C7H11NO5 ; C8H15NS2","Glutarylglycine ; 1-Isothiocyanato-6-(methylthio)hexane",0,NA,728454.963406991,3280106.98482365,6225672.95063649,457943.549741557,470364.665094472,445988.331295023
220,232.9024,14.05402,NA,NA,3.03541983638324,NA,4553499.12526827,5106356.57625931,5966165.6700994,12294.1610593279,4923.57329757406,4875.96162975963
221,149.0454,11.65817,"C5H10O5","D-Xylose",3.51624158621175,NA,2833019.28480135,2775493.69393512,2739699.75165058,5184911.459819,5098391.12484311,5106009.61810376
222,224.0281,2.500486,NA,NA,0,NA,3674134.00568914,5066252.66428914,5945619.58944754,83950.1398337311,588723.15667259,1717335.91068618
223,267.0907,6.845881,"C13H17ClN2O2","Moclobemide",0,NA,3172255.88596594,2652434.41436323,2494640.31902658,1931171.35559997,1738757.81951148,1910243.81603325
224,391.1251,2.412656,"C16H24O11","Caryoptosidic acid",3.53576388978697,NA,4740441.88126775,4790166.76202304,5866524.26990616,21826.0012638185,32275.708958707,33092.6479794432
225,401.0276,1.889328,NA,NA,2.5731147883256,NA,4789875.38406269,5025946.46552837,4829534.4177994,5057894.14688296,5219817.25480356,5123254.65310383
226,116.0353,8.711295,"C4H7NO3","Acetylglycine",2.95526430254949,NA,140024.130788777,126841.597969831,117228.663525177,2760456.12324836,4053821.22792964,5427793.017801
227,428.8557,13.93428,NA,NA,3.06958079512424,NA,4742604.75524054,5426858.87811945,6053617.25259787,770.692135021838,613.292923193159,2243.21702455842
228,165.0556,4.015559,"C9H10O3","3-(3-Hydroxyphenyl)propanoic acid",3.77645214409141,NA,175593.006033547,203773.487368265,170226.782198882,4842046.93477046,4624081.9200814,4304960.22482032
229,241.0728,4.017126,"C11H14O6","Genipinic acid",0,NA,3058667.02827118,3474531.26577519,4263377.10512599,3328389.45887647,4710879.00800068,5152787.26213952
230,158.1267,2.5114695,NA,NA,3.16995052462778,NA,1207436.22782769,1353247.50170959,1488230.26771747,4907137.99006521,5132164.29557998,4881381.3588745
231,311.2958,2.250089,"C20H40O2","3D,7D,11D-Phytanic acid",1.98876798968063,NA,5449370.33039244,4760346.1323972,5368623.06694791,2824254.74309391,2924778.30049004,2390762.31300799
