"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
2,255.2331,2.309295,"C16H32O2","Palmitic acid",2.30162973596506,NA,395902468.342746,393529833.906737,432617760.110465,265005161.342578,274761391.863926,271638010.536326
3,283.2643,2.273464,"C18H36O2","Stearic acid",2.74802128993662,NA,424119993.618314,402644854.462032,435004535.721997,213858006.113012,222895101.754231,200353342.15678
4,253.2176,2.310853,"C16H30O2","Hypogeic acid",4.29179162469551,NA,2750620.94098293,2679926.52296536,3116087.24109869,343063207.191764,363110003.28364,353013360.061572
5,281.2488,2.2797,"C18H34O2","Oleic acid",4.24337149767858,NA,10230597.5206616,9562664.55091295,10555111.2891958,284799454.080253,309859842.635294,286318771.116442
6,96.97635,12.81224,NA,NA,0,NA,105417.277671721,102880.538673598,86598.2177023739,70787.261848891,72969.122494978,63475.3924736092
7,265.148,1.9362,NA,NA,1.41466337235887,NA,264880626.287441,274477833.427392,270941356.125915,224131675.650537,223706369.936841,214372913.302412
9,179.056,11.63771,"C6H12O6","D-Glucose",3.32972630842826,NA,98219497.2580837,96044156.5532089,101925002.215998,182576012.959774,182040598.566412,189910169.381452
10,156.9907,13.44844,NA,NA,4.16457579292311,NA,184925174.324091,187445386.675705,183072182.072346,33736628.5267451,37348198.9725355,35816808.7876747
11,293.1794,1.914331,NA,NA,3.10494228190987,NA,162337835.643041,160980161.40236,162383838.868945,117464355.003986,120436155.849498,117516835.997837
13,194.9274,13.73497,NA,NA,3.71005448382333,NA,27102054.6692035,26648961.6983714,26883655.7300724,137715244.678584,129986603.652952,125189903.376765
14,194.9464,14.00901,NA,NA,3.03680264790775,NA,147939919.319428,146713941.068313,154707200.904939,276967.486023473,111955.009200166,96214.9357098765
16,372.2758,2.547498,"C20H39NO5","3-hydroxytridecanoyl carnitine",4.79740271430757,NA,256809.749236298,257794.285945628,266595.700521259,118389280.948702,115860814.577523,112540008.430857
17,239.0599,2.503619,"C9H20OS3","Propyl 1-(propylsulfinyl)propyl disulfide",0,NA,76700717.3825225,95791864.912554,115823433.041422,2341148.09514389,11548804.5944303,34416447.7147255
18,426.9679,1.95495,NA,NA,1.65519524424503,NA,94480521.0611797,96132484.7468863,88444561.8126353,95047391.2078708,95474595.8992876,98424382.8295532
19,186.1136,2.487964,"C9H17NO3","N-Heptanoylglycine",3.97195770490925,NA,1464330.62083422,1273736.56687755,1447158.04976208,88189251.8009592,84892260.7444418,78804720.1347123
20,294.244,2.569639,NA,NA,3.76082569582192,NA,5819896.50836341,4939927.89795465,5714130.49740939,80493890.8327661,78662036.0626378,78867179.8608017
21,284.2677,2.275022,NA,NA,2.70143072626281,NA,85940768.1551104,79102437.7762722,87331988.8862237,40958195.0590106,42746624.3418129,38518595.817427
