"id","formula","degree","parent","score","parent_formula"
37,"C5H7N",5,45,0.997163352344252,"C5H9N"
37,"C5H7N",8,33,0.995484112173859,"C5H5N"
38,"H2O3S",6,103,0.996515322819428,"H2O4S"
38,"H2O3S",7,101,0.995947620104575,"H3NO3S"
38,"H2O3S",8,103,0.995520494836865,"H2O4S"
38,"H2O3S",9,101,0.994835069160842,"H3NO3S"
38,"CH6O-2S3 Illegal_formula",13,290,0,"C2H6S3"
38,"CH6O-2S3 Illegal_formula",8,290,0,"C2H6S3"
39,"H3O3P",4,291,0.997703920328855,"CH3O5P"
39,"H3O3P",7,1998,0.996012078169876,"C6H13O8P"
39,"H11N-4O2PS2 Illegal_formula",12,5109,0,"C10H23NO8P2S2"
40,"C5H6O",2,107,0.998870162203885,"C5H6O2"
40,"C-3H10N2O3S Illegal_formula",17,3522,0,"C13H40N2O4S"
41,"C4H6N2",5,52,0.99717248367806,"C4H8N2"
41,"C4H6N2",8,2010,0.995475531124735,"C10H16N2O5"
42,"C6H10",3,303,0.998313952572437,"C7H10O2"
44,"C3H5N3",6,286,0.996626309181738,"C5H7N3O"
44,"C3H5N3",8,2025,0.995483236574803,"C9H15N3O5"
45,"C5H9N",4,311,0.997728619128215,"C6H9NO2"
46,"C-1O4S Illegal_formula",6,2036,0,"C5H10O9S"
46,"H4O-1S3 Illegal_formula",13,290,0,"C2H6S3"
46,"H-4N4S Illegal_formula",13,2036,0,"C6H6N4O5S"
46,"H4O-1S3 Illegal_formula",8,290,0,"C2H6S3"
46,"H-4N4S Illegal_formula",11,2036,0,"C6H6N4O5S"
47,"C-1HO4P Illegal_formula",8,105,0,"H3O4P"
47,"C-1HO4P Illegal_formula",4,291,0,"CH3O5P"
48,"C4H4S",4,57,0.997683691431403,"C4H6S"
48,"C4H4S",7,2041,0.996129294706132,"C10H14O5S"
49,"C4H4O2",1,1,0.999433446356798,"C3H2O2"
50,"C3H4N2O",4,129,0.997725955543707,"C3H6N2O2"
51,"C5H8O",3,119,0.998302775840566,"C5H8O2"
52,"C4H8N2",4,320,0.997736282908223,"C5H8N2O2"
53,"C6H12",4,322,0.997730692319909,"C7H12O2"
54,"C3H3NS",5,307,0.997141979611089,"C5H5NOS"
54,"C3H3NS",9,112,0.995004123989357,"C4H5NS"
55,"C4H7NO",4,124,0.997746889521128,"C4H7NO2"
56,"C5H11N",5,332,0.99717366432769,"C6H11NO2"
56,"C-3H15N3O2S Illegal_formula",21,3567,0,"C13H45N3O3S"
57,"C4H6S",3,340,0.998249253182486,"C5H6O2S"
57,"C3H2O5S-1 Illegal_formula",4,230,0,"C3H2O5"
58,"C4H6O2",2,6,0.998868688096216,"C3H4O2"
58,"C3H5N2OP-1S Illegal_formula",7,5988,0,"C12H18N5O11PS"
59,"C5H10O",4,131,0.997748943045096,"C5H10O2"
60,"C4H10N2",5,345,0.997182733748429,"C5H10N2O2"
60,"C3H17O-2P-1S3 Illegal_formula",16,5990,0,"C12H30N3O8PS3"
61,"C6H14",5,347,0.99717572213625,"C7H14O2"
62,"C3H5NO2",2,6,0.998868982755914,"C3H4O2"
62,"C4H9NO-3S2 Illegal_formula",10,2098,0,"C10H19NO2S2"
63,"C4H9NO",4,353,0.99775066851964,"C5H9NO3"
63,"C4H9NO",5,136,0.997162466809116,"C4H9NO2"
63,"C3H16N-1O-1P-1S3 Illegal_formula",16,5198,0,"C13H28N4O5S3"
63,"C2H12N-1O4P-1S Illegal_formula",11,5198,0,"C12H24N4O10S"
64,"C5H13N",6,357,0.996620425122449,"C6H13NO2"
65,"C3H4O3",1,1,0.999433446357585,"C3H2O2"
65,"C4H8O-2S2 Illegal_formula",6,362,0,"C5H8S2"
66,"C4H8S",4,364,0.997694237590383,"C5H8O2S"
66,"C3H4O5S-1 Illegal_formula",4,247,0,"C3H4O5"
67,"C4H8O2",3,15,0.998302775402025,"C3H6O2"
67,"C5H12O-3S2 Illegal_formula",9,815,0,"C5H12S3"
68,"C3H8N2O",5,142,0.99717161672869,"C3H8N2O2"
69,"C5H12O",5,347,0.997175133885747,"C7H14O2"
70,"C4H12N2",6,372,0.996600177780689,"C5H12N2O2"
70,"C12H8O-2S-1 Illegal_formula",12,819,0,"C12H8O"
70,"C12H8O-2S-1 Illegal_formula",10,819,0,"C12H8O"
71,"C2H3NO3",3,134,0.998295692242265,"C3H5NO3"
71,"C3H7NO-2S2 Illegal_formula",6,377,0,"C4H7NS2"
72,"C3H7NO2",3,15,0.998303070259905,"C3H6O2"
73,"C4H11NO",5,381,0.997167778939803,"C5H11NO3"
