"node1","node2","linktype","mass_dif","edge_massdif_score"
155,156,1,0.000868400000001657,0.00115031886711371
247,248,1,0.000868400000001657,0.00115031886711371
361,362,1,0.000868400000001657,0.00115031886711371
384,385,1,0.000868399999973235,0.00115031886762808
408,409,1,0.000868400000001657,0.00115031886711371
409,410,1,0.000469000000009601,0.143336228379556
423,424,1,1.00000022484892e-07,0.999448699562919
443,444,1,0.000867899999974497,0.00115940085975267
519,520,1,0.000868399999973235,0.00115031886762808
542,543,1,0.000868400000001657,0.00115031886711371
545,546,1,0.000868400000001657,0.00115031886711371
569,570,1,0.000868400000001657,0.00115031886711371
574,575,1,0.000868400000001657,0.00115031886711371
575,576,1,0.000469000000009601,0.143336228379556
590,591,1,0.000176500000009128,0.771550199317032
592,593,1,0.000868099999991045,0.00115576012372122
644,645,1,0.000868400000001657,0.00115031886711371
705,706,1,0.000868400000001657,0.00115031886711371
718,719,1,0.000868400000001657,0.00115031886711371
720,721,1,0.000709699999987379,0.011095854199785
725,726,1,0.000651900000008254,0.0225930738407711
727,728,1,0.000868400000001657,0.00115031886711371
746,747,1,0.000868400000001657,0.00115031886711371
747,748,1,0.000469000000009601,0.143336228379556
762,763,1,0.000652000000002317,0.0225664868399703
764,765,1,0.000868400000001657,0.00115031886711371
784,785,1,0.000868400000001657,0.00115031886711371
785,786,1,0.000468999999981179,0.143336228413895
843,844,1,0.000868399999973235,0.00115031886762808
891,892,1,0.000868400000001657,0.00115031886711371
911,912,1,0.000868400000001657,0.00115031886711371
952,953,1,0.000868400000001657,0.00115031886711371
953,954,1,0.000468999999981179,0.143336228413895
958,959,1,0.000868400000001657,0.00115031886711371
968,969,1,0.000868400000001657,0.00115031886711371
969,970,1,0.000468999999981179,0.143336228413895
984,985,1,0.000651900000008254,0.0225930738407711
1006,1007,1,0.000867900000002919,0.00115940085923454
1034,1035,1,0.000867900000002919,0.00115940085923454
1035,1036,1,0.000468999999981179,0.143336228413895
1061,1062,1,0.000868400000001657,0.00115031886711371
1062,1063,1,0.00064559999998437,0.0243238003493136
1084,1085,1,0.000855400000006057,0.00140920021792679
1093,1094,1,0.000410800000025802,0.22696431129926
1096,1097,1,0.000868400000001657,0.00115031886711371
1117,1118,1,0.000868400000001657,0.00115031886711371
1131,1132,1,0.000868400000001657,0.00115031886711371
1151,1152,1,0.000868400000001657,0.00115031886711371
1192,1193,1,0.000868399999973235,0.00115031886762808
1193,1194,1,0.000469000000009601,0.143336228379556
1283,1284,1,0.000868400000001657,0.00115031886711371
1327,1328,1,0.000868400000001657,0.00115031886711371
1357,1358,1,0.000868400000001657,0.00115031886711371
1370,1371,1,0.000868400000001657,0.00115031886711371
1375,1376,1,0.000868399999973235,0.00115031886762808
1385,1386,1,0.000203600000020288,0.705013502450906
1389,1390,1,0.000469000000009601,0.143336228379556
1405,1406,1,0.000469000000009601,0.143336228379556
1522,1523,1,0.00085550000000012,0.00140701819336985
1566,1567,1,0.000868399999973235,0.00115031886762808
1615,1616,1,0.000651900000008254,0.0225930738407711
1638,1639,1,0.000652000000002317,0.0225664868399703
1796,1797,1,0.000867900000002919,0.00115940085923454
1836,1837,1,0.000867900000002919,0.00115940085923454
1887,1888,1,0.000868400000001657,0.00115031886711371
1888,1889,1,0.000469000000009601,0.143336228379556
1899,1900,1,0.000651899999979833,0.0225930738483315
1904,1905,1,0.000651899999979833,0.0225930738483315
1950,1951,1,0.00085550000000012,0.00140701819336985
2004,2005,1,0.000868400000001657,0.00115031886711371
2039,2040,1,0.000868400000001657,0.00115031886711371
2079,2080,1,0.00085550000000012,0.00140701819336985
2099,2100,1,0.000651899999979833,0.0225930738483315
2111,2112,1,0.000868400000001657,0.00115031886711371
2112,2113,1,0.000581299999993234,0.0495656210562032
2159,2160,1,0.00068540000000894,0.0150738327514454
2177,2178,1,0.00085550000000012,0.00140701819336985
2185,2186,1,0.000868400000001657,0.00115031886711371
2187,2188,1,0.000651900000008254,0.0225930738407711
2259,2260,1,0.0007848999999851,0.00401480795741939
2293,2294,1,0.000868400000001657,0.00115031886711371
2317,2318,1,3.00000010611257e-07,0.999477477657565
2326,2327,1,0.000868400000001657,0.00115031886711371
2338,2339,1,0.000784900000041944,0.00401480795417736
2347,2348,1,0.000651899999979833,0.0225930738483315
2352,2353,1,0.000651899999979833,0.0225930738483315
2367,2368,1,0.000652000000002317,0.0225664868399703
2454,2455,1,0.000652000000002317,0.0225664868399703
2459,2460,1,0.000651900000036676,0.0225930738332108
2473,2474,1,0.000868400000001657,0.00115031886711371
2489,2490,1,0.00020399999999654,0.704004842716492
2536,2537,1,0.000651900000036676,0.0225930738332108
2639,2640,1,0.000651399999981095,0.0227264171156827
2641,2642,1,0.000868400000001657,0.00115031886711371
2642,2643,1,0.000469000000009601,0.143336228379556
2665,2666,1,0.000651899999979833,0.0225930738483315
2697,2698,1,0.000652000000002317,0.0225664868399703
2773,2774,1,0.000651900000036676,0.0225930738332108
2793,2794,1,0.000203600000020288,0.705013502450906
2810,2811,1,0.00020399999999654,0.704004842716492
2817,2818,1,0.000651899999979833,0.0225930738483315
2861,2862,1,0.00020399999999654,0.704004842716492
2888,2889,1,0.000868400000001657,0.00115031886711371
2898,2899,1,0.000203499999997803,0.70526557074757
2902,2903,1,0.000651899999979833,0.0225930738483315
2952,2953,1,0.000651900000036676,0.0225930738332108
2985,2986,1,0.000651900000036676,0.0225930738332108
3030,3031,1,0.000868400000001657,0.00115031886711371
3039,3040,1,0.000736300000028223,0.00783658496850356
3119,3120,1,0.00020399999999654,0.704004842716492
3202,3203,1,0.000974299999995765,0.000196199304143996
3208,3209,1,0.000849099999982172,0.00155314096198518
3239,3240,1,0.000651900000036676,0.0225930738332108
3258,3259,1,0.000651900000036676,0.0225930738332108
3371,3372,1,0.000203499999997803,0.70526557074757
3371,3373,1,0.00085550000000012,0.00140701819336985
3372,3373,1,0.000652000000002317,0.0225664868399703
3402,3403,1,0.000204099999962182,0.703752581676194
3475,3476,1,0.000149600000042938,0.832671307566273
3480,3481,1,0.000664800000038213,0.0193799692823727
3526,3527,1,0.000652000000002317,0.0225664868399703
3548,3549,1,0.000652000000002317,0.0225664868399703
3628,3629,1,0.000203600000020288,0.705013502450906
3682,3683,1,0.000943499999948472,0.000335184009006418
3683,3684,1,0.000469100000032086,0.143215447221303
3698,3699,1,0.000469000000009601,0.143336228379556
3801,3802,1,0.000651899999979833,0.0225930738483315
3803,3804,1,0.000651900000036676,0.0225930738332108
3893,3894,1,0.000216499999964981,0.672209183964201
4051,4052,1,0.00025229999999965,0.579634304417124
4077,4078,1,0.00065150000000358,0.022699693947694
4095,4096,1,0.000722599999960494,0.00938894461479063
4101,4102,1,0.000685499999974581,0.0150551718844649
4145,4146,1,0.000685799999985193,0.0149993112992571
4207,4208,1,0.000664799999981369,0.0193799692956029
4219,4220,1,0.000652000000002317,0.0225664868399703
4272,4273,1,0.000380599999971309,0.281144497878329
4405,4406,1,0.000729100000000926,0.00862110376490334
4420,4421,1,0.000203600000020288,0.705013502450906
4690,4691,1,0.000455799999997453,0.159950358530614
4768,4769,1,0.000876100000027691,0.00101852276347258
4852,4853,1,0.000567100000012033,0.0574151499079386
4896,4897,1,0.000685699999962708,0.0150179111767384
4927,4928,1,0.000664799999981369,0.0193799692956029
4955,4956,1,0.000828500000011445,0.00212384342612845
5041,5042,1,0.000651899999979833,0.0225930738483315
5169,5170,1,0.000470799999959581,0.141173719926938
5253,5254,1,0.000651899999979833,0.0225930738483315
5259,5260,1,0.00085550000000012,0.00140701819336985
5582,5583,1,0.000468999999952757,0.143336228448233
5842,5843,1,0.000685499999974581,0.0150551718844649
5858,5859,1,8.53000000233806e-05,0.946955435442979
6017,6018,1,0.000182900000027075,0.756206757834213
