label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,nega-Ecoli-12C14N-a,nega-Ecoli-12C14N-b,nega-Ecoli-12C14N-c,nega-process-blank-A,nega-process-blank-A-end,nega-process-blank-B,nega-process-blank-B-end,nega-Yeast-12C14N-a,nega-Yeast-12C14N-b,nega-Yeast-12C14N-c
,0,9037,10,530.321,2.510913,0.8502039,,,,,0,0,530.321,17850.63,26089.11,29129.6,38380.84,58693.96,47194.77,39504.52,41188.01,37173.85,32443.2
,0,9038,10,179.0826,11.64697,0.8503485,,,,,0,0,179.0826,93482.31,82105.89,79682.02,20801.9,36157.06,27770.92,31374.39,176353.1,162838.1,142320.2
,0,9039,8,391.2973,2.524078,0.851028,,,,,0,0,391.2973,42442.66,10044.62,24213.84,53407.35,45609.5,60111.09,84228.2,22525.83,16041.4,11668.02
,0,9040,9,581.3849,2.242245,0.8483347,,,,,0,0,581.3849,27906.63,25991.2,40387.48,60128.82,41970.95,41754.68,54135.86,59164.2,39056.86,51897.82
,0,9041,10,587.3954,6.872568,0.8492623,,,,,0,0,587.3954,41531.45,43791.45,40357.21,55264.29,62104.3,46238.61,37574.47,28602.98,23321.94,22320.37
,0,9042,6,533.046,1.913792,0.848015,,,,,0,0,533.046,13273.2,12117.98,10347.26,16390.92,19088.23,30024.65,37830.09,36978.3,17628.31,38706.15
,0,9043,7,97.05367,13.74302,0.8497241,,,,,0,0,97.05367,24846.47,20245.75,26306.42,1998.869,3216.701,1747.297,7090.467,129366.1,96696.87,38817.06
,0,9044,8,509.2545,2.488327,0.8487819,,,,,0,0,509.2545,28985.3,9272.618,10343.01,42288.59,28329.24,24853.4,54425.14,20449.58,12629.58,28293.47
,0,9045,3,376.2712,2.59045,0.8476365,,,,,0,0,376.2712,6267.359,0,0,0,0,0,0,34666.94,51681,39832.06
,0,9046,10,432.2111,2.542028,0.8477851,,,,,0,0,432.2111,33255.12,12146.16,25284.39,39714.6,38256.49,43852.48,40130.97,21865.75,34578.39,31921.13
,0,9047,2,207.7387,7.160251,0.7899742,,,,,0,0,207.7387,0,0,0,19635.69,13346.13,54361.75,29876.39,0,1558.608,0
,0,9048,3,391.02,2.565323,0.8500388,,,,,0,0,391.02,35644.95,51624.01,71334.37,5945.778,3739.328,9004.07,4911.142,0,0,5229.894
,0,9049,2,222.1507,6.72073,0.8446364,,,,,0,0,222.1507,940.2216,905.4579,0,79441.59,62837.95,88816.91,105428.5,1379.32,2201.017,4149.686
,0,9050,4,223.1091,4.06349,0.8492838,,,,,0,0,223.1091,3943.165,6569.805,4979.218,4962.121,6088.413,5800.549,3337.314,68372.41,56904.73,60836.78
,0,9051,7,163.0522,11.64145,0.8520352,,,,,0,0,163.0522,22732.86,22771.62,21248.77,5204.251,6970.914,5106.351,5184.749,70406.91,40561.17,59531.19
,0,9052,8,827.5729,2.546703,0.842765,,,,,0,0,827.5729,47130.52,48390.78,50354.12,16894.25,20224.42,19495.9,25628.01,36378.12,24731.55,22287.09
,0,9053,4,639.4271,2.37351,0.8454008,,,,,0,0,639.4271,10035.17,5728.643,15123.81,28062.98,29203.29,17466.94,16597.51,53026.11,37703.64,11589.44
,0,9054,7,512.3466,2.334752,0.8490038,,,,,0,0,512.3466,15998.78,20537.66,27875.54,31932.59,36580.67,62472.05,27887.04,17130.72,21960.46,44584.51
,0,9055,3,312.985,2.455975,0.848047,,,,,0,0,312.985,0,0,6410.796,0,0,0,0,29201.02,61383.33,52455.64
