"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-process-blank-A","nega-process-blank-A-end","nega-process-blank-B","nega-process-blank-B-end","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
6005,493.354,2.329334,"C29H50O6","28-Homobrassinolide",0,TRUE,35217,35924.52,45914.7,64113.61,48590.94,43526.29,56386.38,47158.95,61663.22,45648.06
6006,397.2456,5.267782,NA,NA,0,TRUE,1696,1232,661,35785.93,2065,40589.57,1499,622,417,403
6007,397.2962,2.381013,NA,NA,0,TRUE,60882.09,58831.54,60890.81,61921.11,90442.46,68912.38,60193.42,39341.09,62299.14,50799.77
6008,383.229,2.731482,NA,NA,0,TRUE,33199.11,36434.85,38241.88,46539.67,103204,43278.42,115674.1,42280.09,55299.97,55824.39
6009,415.2858,2.392328,NA,NA,1.3532728791369,TRUE,31324.84,18819.67,32199.73,36006.33,46853.82,48948.17,44498.48,79493.85,53165.34,63445.41
6010,507.1858,1.975522,"C25H32O11","(7'R,8'R)-4,7'-Epoxy-3'-methoxy-4',5,9,9'-lignanetetrol 9'-glucoside",0,TRUE,53065.48,30905.89,10359.43,58855.31,985,71753.99,1858,12466.74,6218.392,11250.98
6011,451.3069,2.370802,NA,NA,0,TRUE,50904.39,54035.78,26224.88,67405.77,77025.99,58459.07,86484.82,43259.16,44913.73,63235.36
6012,499.1073,13.44539,NA,NA,1.88482233447375,FALSE,16819.72,7201.678,5447.555,3539.203,3189.293,864,3270.389,72697.07,105358.9,120373.6
6013,490.2908,2.535355,NA,NA,0,TRUE,62991.32,38745.38,40376.14,64517.42,55309.81,34211.14,59761.5,48148.29,86518.69,82485.5
6014,945.27,14.84091,NA,NA,3.20219944229282,FALSE,127329.1,106579.7,111052.3,2082,1695,2206,1052,814,1537,1016
6017,297.1064,13.84682,NA,NA,2.75957556691639,FALSE,2281,878,1007,1368,2306,1774,198,115833.2,126208.3,112906.4
6018,585.25555,2.719028,NA,NA,0,TRUE,35828.42,37662.8,26300.57,26287.94,11477.35,21439.45,32812.24,21554.33,19653.86,30639.68
6019,510.9895,2.560733,NA,NA,0,FALSE,63746.57,84965.41,103732.3,14019.92,4203.554,6844.817,3399.048,2104,2075,27558.1
6020,490.8814,13.94923,NA,NA,2.72843717456769,FALSE,95022.34,100822.7,124042.8,87,732,2451,2126,524,777,1534
6021,86.982535,5.11545,NA,NA,3.28637507321754,FALSE,6147.719,8474.7,8002.117,125,748,1395,1972,198703.4,192832.1,170055.7
6022,566.4064,2.534595,NA,NA,2.48464285026163,FALSE,1008,329,454,544,1226,903,581,105491.9,92398.99,45114.17
6023,332.1872,2.39223,NA,NA,1.60223374387355,TRUE,20868.2,23859.94,33627.12,89729.6,109540.2,85071.55,115651.3,79986.69,76441.76,54882.88
6024,396.9713,14.00416,NA,NA,0,TRUE,746,5137.74,8540.196,622,102263.3,2470,116243,17204.55,21487.5,20084.83
6025,421.2171,2.548784,NA,NA,1.45589473200369,FALSE,1820,1819,1560,718,3177.578,7886.361,8937.768,84127.77,24724.31,10186.01
6026,617.2971,2.505319,NA,NA,0,TRUE,47852.32,19699.27,71248.37,57132.86,76760.74,59480.67,108415.9,64251.28,69530.01,74141.68
6027,787.2269,2.286294,NA,NA,0,TRUE,46930.1,25026.35,34912.08,30353.62,34525.05,35064,46527.2,42299.07,36271.47,37201.75
6028,486.947,13.87719,NA,NA,0,TRUE,48,3015.692,1812,97587.81,993,123716.4,2209,48818.48,47532.14,45654.41
6029,421.13825,6.991775,NA,NA,0,TRUE,65,1809,1875,48865.41,48723.72,65851.9,55885.6,2243,1601,325
6030,392.1721,2.476152,NA,NA,1.66877521897927,TRUE,32099.34,46779.1,36991.37,23524.17,44768,29026.71,45891.7,72874.48,85023.19,102600.5
6031,146.9617,8.663819,NA,NA,0,TRUE,996,8337.198,43381.3,804,125111,1662,122259.7,59531.92,68740.01,83471.77
6032,464.1492,2.344039,"C21H27N3O7S","Bacampicillin",2.54865882940221,FALSE,58004.52,62558.41,73972.7,479,1633,2461,591,2089,1768,814
6033,156.1111,2.595363,NA,NA,2.37343381714394,FALSE,6506.299,11057.13,13733.64,8878.68,23471.11,6294.189,21009.74,109542.1,117964.4,112952.2
6035,344.1587,2.48835,NA,NA,0,TRUE,100709.6,77290.66,69961.59,110624.5,72233.83,106389,121295.3,100638,87951.6,78251.07
6036,465.0914,2.384707,NA,NA,0,TRUE,60631.57,97022.32,48701.97,46058.14,78502.52,71111.45,72684.49,38197.23,42095.58,63023.17
6037,432.3566,2.275067,NA,NA,0,TRUE,18501.65,46845.78,15167.07,40705.35,50413.44,42287.84,33860.52,17791.49,48587.64,14150.36
6038,434.9915,2.650859,"C20H15Cl3N2OS","Sertaconazole",0,TRUE,96547.54,108966.8,83738.36,25953.41,37489,32507.13,22670.91,1128,10369.11,23297.38
6039,757.4421,2.0904835,NA,NA,0,TRUE,1807,20375.11,12460.6,59033.09,73890.91,62294.59,45586.07,27067.79,56205.12,39216.14
6040,352.18795,1.910082,NA,NA,0,TRUE,45561.7,93690.55,83635.25,101292.5,106081.7,123150.3,100120.8,99372.4,104761.1,91636.54
6043,226.9964,4.101535,"C8H8N2O2S2","Thiolutin",0,FALSE,58505.52,103546.1,106881.8,8439.404,3035.198,4395.121,981,1985,987,16799.02
6044,600.9333,2.007645,NA,NA,0,TRUE,124548.3,89001.88,89081.55,92087.35,36406.33,114078.9,44701.85,96386.46,80736.27,79643.79
6045,544.3345,2.676833,NA,NA,0,TRUE,56112.37,48909.36,63473.68,60228.37,94620.93,59946.32,89827.35,75398.56,56459.55,97904.21
6046,339.9321,13.43716,NA,NA,2.11345287660889,FALSE,77634.55,73855.62,117516.1,2447,1687,2023,1575,1310,5250.292,2849.756
6047,219.0066,13.39856,NA,NA,2.59530309058923,FALSE,105412.7,101132.9,124210.6,15200,26534.68,16694.71,25837.06,32147.01,25188.48,27710.54
6048,95.010405,2.544605,NA,NA,0,TRUE,113339.8,102832.3,80430.8,71686.21,19727.54,77200.41,19330.35,80148.93,64922.8,51908.78
6052,397.0869,2.402614,NA,NA,0,TRUE,57771.11,59603.24,60695,77457.05,102941.4,87816.02,74528.23,94610.05,64841.05,72199.09
6053,123.012,2.90992,NA,NA,0,TRUE,25444.49,23966.06,19833.43,30371.62,43803.86,26040.93,34495.07,26660.6,23729.17,22272.21
6054,258.2159,2.065218,NA,NA,0,TRUE,109827.8,112148,107949.8,98640.73,103833.1,107523.8,109568,96982.81,95362.3,76742.98
6057,271.0821,16.67433,"C12H16O7","Arbutin",0,FALSE,1868,3198.537,6,1532,575,2439,506,131773.9,80430.47,75052.34
6058,210.0409,2.798347,"C9H9NO5","Topaquinone",0,TRUE,4605.213,6926.137,4446.902,10761.86,11089.13,13120.03,15445.6,8409.422,8295.374,8718.851
6059,470.0325,14.04293,NA,NA,1.86601425373142,TRUE,915,1306,261,1810,105175.5,1685,124596,13558.96,20038.95,19322.11
6060,261.1134,2.515612,"C15H18O4","5,6-Dihydro-4-methoxy-6-[2-(4-methoxyphenyl)ethyl]-2H-pyran-2-one",0,TRUE,83603.99,66561.71,87034.23,84309.13,106141.5,93815,116738.1,64217.72,70929.94,97781.44
6061,592.2849,2.541032,NA,NA,0,TRUE,28977.2,60964.8,82280.38,66498.68,105377.5,65209.24,93252.73,94894.48,42882.94,65856.3
6063,645.187,2.351807,NA,NA,0,TRUE,87292.47,76859.1,62438.38,77661.04,92324.4,79804.48,67021.5,112341.9,28341.45,56666.91
6064,369.24705,2.542311,NA,NA,1.38994699606542,FALSE,445,6272.663,3976.819,6271.08,13533.66,7710.236,14924.92,53504.39,85561.29,101853.6
6065,432.0871,2.378764,NA,NA,2.22495052898224,TRUE,15449.44,9244.458,11209.03,1017,75929.95,5210.5,85358.93,1913,1403,1027
6066,343.2605,2.544308,NA,NA,1.58282735048223,FALSE,100952.4,104381.1,127205.4,5962.423,31962.01,16281.21,26109.57,67481.47,47003.09,48340.39
6067,142.012,13.88128,NA,NA,0,TRUE,13672.8,16935.76,14077.35,28785.55,96632.91,30546.64,112600.3,15839.15,33506.79,28826.62
6069,327.1758,2.404468,NA,NA,0,TRUE,58716.47,44183.45,66735.27,106148.7,98207.1,87936.49,88498.87,74793,78490.02,76130.5
6070,446.2631,4.005026,NA,NA,2.42014783598333,TRUE,45951.34,43532.82,40179.85,116449.8,75525.73,79182.29,63001.86,74390.9,89780.74,84963.72
6071,410.1825,2.489289,"C20H29NO8","O-Desmethylvenlafaxine glucuronide",1.63445585997053,FALSE,21269.54,30498.3,36717.29,31834.84,10772.11,22905.11,31716.68,124073.1,96958.46,74276.98
6072,312.0765,2.543493,"C11H15N5O4S","(S)-5'-Deoxy-5'-(methylsulfinyl)adenosine",1.57926882855843,FALSE,1869,340,5284.732,2292,1897,2004,3559.49,97543.99,105298.1,70500.73
6073,230.5299,13.96579,NA,NA,2.19784224681304,FALSE,101113.3,125605.4,102209.1,724,1471,2435,2170,4959.677,1678,5401.714
6074,256.0913,13.47555,NA,NA,2.93554201077308,FALSE,1295,912,1350,43,1898,1464,1323,126989.2,77461.59,68481.19
6076,447.0821,2.394147,NA,NA,1.41805034162668,TRUE,35525.55,67939.88,85262.75,23345.72,97630.82,50074.81,78003.85,20206.46,17562.98,16923.97
6077,504.3055,2.52315,NA,NA,0,TRUE,18478.37,73685.56,26232.77,32806.58,80778.93,57967.98,105303.6,54862.54,71172.73,32566.73
6078,335.1234,2.686006,"C16H20N2O6","Semilepidinoside A",1.57348873863542,FALSE,13786.57,20494.37,18201.94,1043,3700.723,1688,3329.723,4388.018,1153,2278
6081,650.1411,2.416758,"C34H32ClFeN4O4","Hemin",0,TRUE,40933.84,23076.61,38508.51,47791.06,91595.16,67577.94,57989.59,39846.11,57407.76,40068.56
6082,425.306466666667,2.351534,"C28H42O3","13'-Hydroxy-gamma-tocotrienol",2.49155108751921,TRUE,9118.849,14104.36,13784.36,37018.89,39363.96,34712.95,13714.6,83959.34,100303.9,77148.16
6083,573.1291,2.339623,NA,NA,0,TRUE,13221.74,21360.25,27421.79,46582.69,58771.86,53355.95,52360.81,64393.49,48999.33,8328.243
6084,399.1078,12.11363,"C21H20O8","5-Hydroxyflavone",0,TRUE,3779.137,115,947,4222.509,113018.7,4173.917,111016.8,1587,3944.419,2737.884
6085,347.2229,4.00501,"C21H32O4","3b,15b,17a-Trihydroxy-pregnenone",0,TRUE,51990,59026.32,65957.79,49351.08,49572.78,60695.66,50589.13,40875.86,61395.88,76725.24
6086,150.023,11.08467,"C4H9NO3S","(S)C(S)S-S-Methylcysteine sulfoxide",1.43535760366704,TRUE,350,302,1975,119274.4,115021.1,106780.2,103779.8,10364.19,7175.933,11039.65
6088,442.2319,2.50903,NA,NA,1.38620044728372,TRUE,49282.93,46464.06,27747.41,78044.42,93264.44,110745.7,123104.2,109884.9,87191.06,82197.61
6089,689.0461,14.05275,NA,NA,1.56781667560531,FALSE,21582,26461.06,51539.52,529,1909,1123,4280.389,111854.7,131255.7,123345.1
6092,352.8674,13.55905,NA,NA,2.28644225986401,FALSE,96634.22,109218.3,114153,1764,42569,1398,56339.25,326,1166,1708
6094,569.3542,2.513725,NA,NA,0,TRUE,43296.15,61390.61,66113.25,53607.76,17640.13,68292.23,7862.744,40615.61,25778.18,16041.61
6095,631.4583,2.384698,NA,NA,0,TRUE,12979.35,30575.1,29589.96,58334.5,44338.18,77006.72,56204.42,57569.21,69719.18,53428.66
6097,520.2166,6.933053,NA,NA,1.61836155327384,TRUE,202,2159,610,64394.42,2358,39841.01,3361.957,31676.4,26348.08,19084.34
6098,381.265,2.4074,"C22H38O5","Misoprostol",0,TRUE,62572.09,60491.75,80023.66,80489.05,95523.26,104827,96594.22,75684.82,29763,82868.38
6100,311.1097,2.439392,NA,NA,1.5638691705703,TRUE,16843.43,24477.09,15335.63,62879.25,68380.71,42550.81,74810.41,35136.91,46787.71,43160.29
6101,363.1607,2.468578,NA,NA,0,TRUE,32148.55,16692.5,26580.21,107436.5,78848.25,109996.8,79426.79,54351.43,39654.04,45289.57
6102,238.95935,11.63797,NA,NA,1.47154610840236,FALSE,79783.91,53716.33,75651.09,27105.73,35207.36,25320.49,30609.92,114806.1,139365.7,132604.6
6103,158.9971,13.42085,NA,NA,2.91129703964853,FALSE,97330.62,97078.95,121547.3,13627.33,20604.9,16701.2,21846.98,22245.77,23805.88,23634.89
6104,505.2448,2.533505,"C27H38O9","11-Hydroxyprogesterone 11-glucuronide",0,TRUE,60789.11,78584.44,99412.84,84535.91,114405.2,94928.56,87740.57,113288,85135.16,97345.57
6105,975.3998,2.345237,NA,NA,0,TRUE,45885.78,78989.05,25502.85,45508.89,72653.41,82794.16,18030.89,15278.93,55697.92,32655.15
6107,241.0121,1.985109,"C6H11O8P","Inositol cyclic phosphate",2.66625053751803,TRUE,32279.84,31367.01,34082.72,36099.72,57176.66,69747.45,55829.21,67606.36,72894.68,80519.15
6108,224.9994,13.84433,NA,NA,1.57945018646782,TRUE,18966.62,9713.075,12760.61,57489.56,124131.8,62173.17,88093.91,32601.87,47359.7,48991.36
6109,236.874,13.81049,NA,NA,2.45475475325177,FALSE,75464,93270.1,124240.5,1361,1194,1790,6239.958,595,958,215
6110,626.161525,2.3609615,NA,NA,0,TRUE,19737.33,24290.9,21427.14,28213.85,88513.46,82136.03,90666.72,16105.88,39453.16,48027.7
6113,437.9209,13.36264,NA,NA,1.83185622450404,FALSE,106635.4,96779.25,107162.6,53,1159,831,142,40646.48,30344.08,20813.53
