"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
42,313.0788,2.4331,NA,NA,0,NA,33738346.3953092,41654429.1054874,49866292.8068691,914646.26606919,4933099.38972554,15323088.7153358
43,205.1598,2.406356,"C14H22O","4-(1,1,3,3-Tetramethylbutyl)-phenol",2.23040115161255,NA,32538044.8998437,28656502.4898917,31722964.6044891,39418603.9835385,40930465.4340953,39701597.7286379
44,88.04028,12.79718,"C3H7NO2","beta-Alanine",4.84915149333048,NA,594588.034000606,569869.453485111,550506.437669525,40768650.5774865,42567810.8182261,42020940.7496899
45,292.9232,14.02116,NA,NA,4.62723524045626,NA,45045631.3852204,46910584.6075183,46797399.2837043,1964.88341354578,2032.57208037541,2403.72195020037
46,280.2648,2.477009,"C18H35NO","Oleamide",2.96078423409605,NA,44966744.2719227,41197638.8571225,43160895.9073282,19250926.1676767,18233883.3035761,18512657.0936203
47,340.2859,2.472314,"C20H39NO3","Stearoylglycine",2.2943415146941,NA,44915077.4504047,41005288.5715076,43261443.6219074,25553051.2598999,24528596.6654856,22911263.4829294
48,208.0649,6.711353,NA,NA,3.37064137741966,NA,111416.297568806,120982.505570554,211467.299855032,41528793.3869967,39744071.3041588,39301965.5462318
49,743.2011,2.29372,"C32H40O20","3,4,5-trihydroxy-6-{3-[(E)-2-(2-hydroxy-4-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)ethenyl]-5-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenoxy}oxane-2-carboxylic acid",0,NA,34603848.2081772,37451932.1453499,43111004.2975486,31087498.3101045,33691985.2302845,30926686.4189858
50,145.0618,13.21986,"C5H10N2O3","L-Glutamine",3.15093086583224,NA,2539364.83985114,2726179.06419718,3570523.02429999,39534179.1889848,36911743.7328896,33253635.5378923
51,417.0226,1.878381,"C17H14Cl2F2N2O4","Roflumilast N-oxide",1.30566686867102,NA,40216445.6291148,41255846.3253859,39983488.4098836,39277408.9875642,40451148.1595302,37868362.3717543
52,161.0455,11.6834,"C6H10O5","2-Hydroxyadipic acid",3.35619213694877,NA,18510568.8996629,18245812.8114613,18704988.2900013,35078357.7501269,33989456.751499,33648362.762323
53,313.2174,3.822889,"C21H30O2","Progesterone",0,NA,39248809.9353636,38164137.2534992,39177212.0751571,34501426.0115263,34517651.6135792,35498614.3253044
54,299.2018,3.835562,"C20H28O2","All-trans-retinoic acid",0,NA,38025558.8611028,34910065.2455058,36677213.6432082,35368025.4413209,32244408.5224356,33680903.2091701
55,223.0285,2.503617,NA,NA,0,NA,26020595.6688231,33226227.7775871,41746857.1113865,781324.63423906,3779932.62916837,11921563.7435033
56,321.2069,2.522406,"C19H30O4","(S)-[8]-Gingerol",0,NA,68964.2437622567,139487.189900694,126020.02386536,139304.987972447,151047.982522948,135305.362305666
58,75.0084,2.819711,"C2H4O3","Peracetic acid",0,NA,37975972.3611159,35205315.0425169,39289216.1353975,29999735.0370579,29478946.5081512,22666142.352454
59,481.0348,1.870547,NA,NA,1.38251737733936,NA,33887359.0560912,35935903.7963618,34112055.8603567,33550241.2122591,33557461.8240217,33953864.6080748
60,615.1762,2.315544,NA,NA,0,NA,32458464.3460356,32857999.130735,34616301.2640167,31797927.6615982,32078477.0846517,28507927.7984113
61,266.1513,1.939325,NA,NA,1.35425360462176,NA,34301574.1876133,35222142.6359771,35600749.2569413,29195515.8865088,29228572.3621388,28104560.8269304
62,113.0244,11.65351,"C5H6O3","Norfuraneol",3.68649132595393,NA,15833051.9982611,16006031.2238053,15860224.7633349,28622027.4630164,28997907.7095911,30244829.0005443
63,146.0458,13.35752,"C5H9NO4","L-Glutamic acid",2.34911962498849,NA,17132680.5915917,18090474.3397316,19595347.9972834,25321242.7084465,25980936.9084795,28093346.7082987
64,367.1052,11.65186,"C17H20O9","3-O-Feruloylquinic acid",1.67662412806614,NA,24232432.7324473,23868062.94585,25020271.1366129,27974274.0771072,25741332.0688218,27200381.0687624
65,98.95593,13.767455,NA,NA,3.62552661093602,NA,8471606.41578756,8707594.95263255,8964800.99296781,26708250.0947608,26134113.4184828,25217880.9171861
66,288.9977,1.908078,NA,NA,1.34925548758226,NA,26304939.2990477,25056197.7448597,24619985.9760269,25410816.5926047,25606055.4958112,24599017.5912327
67,359.1196,11.63145,NA,NA,3.21519733385571,NA,11096104.8370258,10604028.0572148,10876171.4984761,25780910.9679882,23798650.9288634,25571778.9983897
68,373.2791,2.552247,NA,NA,2.96457026181545,NA,42220.8629417931,17893.3892094575,60654.148511085,26053943.9180501,25488023.506909,24559875.4415041
69,253.1447,4.01082,NA,NA,1.58986414058073,NA,22414925.1547918,23744456.8250639,21131207.412707,23326561.7425516,25311430.3580201,23372075.9960274
70,119.0349,11.64718,"C4H8O4","(S)-3,4-Dihydroxybutyric acid",3.3837030719464,NA,13455035.3553818,13264200.4970516,14242486.8233118,24556588.2977002,25011366.7694269,25224531.3771052
