label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,nega-Ecoli-12C14N-a,nega-Ecoli-12C14N-b,nega-Ecoli-12C14N-c,nega-Yeast-12C14N-a,nega-Yeast-12C14N-b,nega-Yeast-12C14N-c
,0,16813,1,421.1427,14.06363,0.8378472,,,,,0,0,421.1427,5373.553,10028.05,11942.54,953.3987,0,0
,0,16814,2,511.218,2.626842,0.8263946,,,,,0,0,511.218,6882.172,15472.11,6607.512,8845.196,8271.082,11898.36
,0,16815,2,197.0257,2.046256,0.8330106,,,,,0,0,197.0257,5841.817,4950.561,16627.3,4670.12,8026.198,6120.574
,0,16816,3,294.027,12.7808,0.8470858,,,,,0,0,294.027,0,0,0,19398.54,23543.48,17508.08
,0,16817,2,789.7876,13.44199,0.7894228,,,,,0,0,789.7876,8546.587,5279.832,12038.52,0,0,0
,0,16818,3,509.9521,13.56061,0.8377608,,,,,0,0,509.9521,0,0,1229.245,9076.957,9586.188,14339.47
,0,16819,6,211.0249,11.11409,0.8297272,,,,,0,0,211.0249,13761.67,11313.25,10657.2,18612.71,17549.29,20514.03
,0,16820,3,613.2662,2.522431,0.8388284,,,,,0,0,613.2662,10860.85,7037.781,9413.883,18904.01,34279.73,13810.33
,0,16821,6,441.2524,1.990956,0.8493442,,,,,0,0,441.2524,82132.83,94652.77,113088.1,85376.44,86035.12,88375
,0,16822,3,265.0357,2.051067,0.8386088,,,,,0,0,265.0357,11090.29,16064.55,8384.015,25965.63,9407.376,11322.4
,0,16823,3,689.0737,4.113478,0.8482605,,,,,0,0,689.0737,15837.42,23376.5,20167.8,0,0,0
,0,16824,3,320.0922,9.718639,0.84506,,,,,0,0,320.0922,17745.39,23675.64,23068.49,0,0,0
,0,16825,4,557.2238,2.625981,0.8404781,,,,,0,0,557.2238,11533.15,8823.883,17616.6,12712.48,11052.77,6533.666
,0,16826,1,464.0277,1.84138,0.5835338,,,,,0,0,464.0277,3672.22,8782.344,6266.832,15558.91,9449.909,0
,0,16827,4,418.224,4.026603,0.8455654,,,,,0,0,418.224,28820.75,36577.9,21988.94,11301.33,13852.08,9447.728
,0,16828,3,350.1976,4.05405,0.8183604,,,,,0,0,350.1976,7310.139,15309.07,11931.78,17053.43,12802.77,20194.29
,0,16829,5,735.3438,2.747667,0.8209585,,,,,0,0,735.3438,8597.996,13918.04,11883.41,10853.8,8716.003,9134.769
,0,16830,1,210.1007,3.961874,0.837574,,,,,0,0,210.1007,3544.765,17012.66,4175.714,3998.351,6624.32,0
,0,16831,3,116.0756,8.710151,0.8472857,,,,,0,0,116.0756,332.9765,296.2536,0,13151.61,17307.8,25798.97
,0,16832,3,268.1179,7.691003,0.7113948,,,,,0,0,268.1179,3138.999,1887.69,1515.492,21130.03,24299.29,24925.65
,0,16833,2,398.1977,2.5586,0.6685692,,,,,0,0,398.1977,2832.498,5482.645,4979.308,12608.94,7645.302,9146.923
,0,16834,2,278.1609,4.084283,0.7432072,,,,,0,0,278.1609,0,0,924.2349,10812.1,3518.638,13900.62
,0,16835,1,679.8619,13.3819,0.8244057,,,,,0,0,679.8619,12884.01,5473.222,6957.308,0,0,0
,0,16836,6,76.52367,3.814967,0.8472284,,,,,0,0,76.52367,23069.62,24421.09,16204.11,21546.01,23571.66,26207.07
,0,16837,2,175.0885,3.952328,0.8180298,,,,,0,0,175.0885,13827.45,9424.742,8106.885,3826.56,4695.106,1671.296
,0,16838,2,488.7753,13.75667,0.8387769,,,,,0,0,488.7753,2144.619,4122.667,11569.23,0,0,1684.32
,0,16839,4,150.0322,2.662717,0.8413128,,,,,0,0,150.0322,7273.021,8318.071,9422.995,9291.461,3831.073,13336.33
,0,16840,3,154.8808,7.014904,0.8272463,,,,,0,0,154.8808,20616.92,21831.7,22204.04,7113.492,0,1083.139
,0,16841,3,372.9855,14.02948,0.8480383,,,,,0,0,372.9855,22072.12,18142.18,12971.08,0,1186.892,0
,0,16842,3,762.348,2.748561,0.8488386,,,,,0,0,762.348,19032.91,19762.97,14820.67,0,0,0
,0,16843,3,217.0125,2.152604,0.8524136,,,,,0,0,217.0125,0,342626.6,93130.25,80445.55,215406.2,62859.83
,0,16844,2,347.8129,13.77532,0.8450997,,,,,0,0,347.8129,11168.95,11778.95,9414.199,0,0,0
,0,16845,3,231.135,7.76305,0.8056946,,,,,0,0,231.135,3506.056,3591.973,3451.739,24392.33,25358.62,24634.12
,0,16846,3,84.00891,11.12456,0.8218359,,,,,0,0,84.00891,3562.244,3705.658,5143.73,15299.84,20253.75,19035.21
,0,16847,2,527.2651,4.01715,0.8462268,,,,,0,0,527.2651,9287.291,3892.212,14015.74,10807.59,17991.05,16009.98
,0,16848,6,174.9803,11.17633,0.8428233,,,,,0,0,174.9803,8599.116,5051.976,6828.506,20289.91,20546.07,25030.01
,0,16849,4,298.9137,3.430842,0.8352463,,,,,0,0,298.9137,21867.51,13997.08,12413.48,13825.75,23162.85,18317.2
,0,16850,4,394.8846,13.37292,0.7513134,,,,,0,0,394.8846,9409.59,14996.26,8976.869,6364.521,2549.042,1802.961
,0,16851,6,312.1097,4.124609,0.8347169,,,,,0,0,312.1097,8772.727,8713.941,11039.76,8631.458,12503.84,16869.93
,0,16852,3,287.9128,13.67645,0.837825,,,,,0,0,287.9128,3250.256,0,0,12096.23,17443.53,13034.04
,0,16853,4,254.9974,6.616589,0.8422405,,,,,0,0,254.9974,19502.39,21493.25,22224.24,19015.78,23821.51,22070.83
,0,16854,5,929.3113,2.098411,0.8464854,,,,,0,0,929.3113,11484.5,17917.45,17014.24,14391.92,6048.298,20130.94
,0,16855,2,442.2682,2.508581,0.8098692,,,,,0,0,442.2682,2317.771,8537.388,8248.847,12459.69,9403.573,6647.471
,0,16856,3,942.2478,14.39618,0.8453806,,,,,0,0,942.2478,20795.66,17284.33,15843.21,0,0,0
,0,16857,1,817.0916,1.851672,0.7417552,,,,,0,0,817.0916,4683.701,6631.982,14022.53,9402.093,3065.64,8280.181
,0,16858,2,389.0682,13.844,0.8365266,,,,,0,0,389.0682,10637.64,11900.98,10485.63,0,784.7858,0
,0,16859,4,252.1243,2.640253,0.837986,,,,,0,0,252.1243,7311.233,8248.456,8674.429,23204.62,14501.49,8932.901
,0,16860,3,662.4769,6.816217,0.8395065,,,,,0,0,662.4769,20826.33,15837.46,18560.9,0,0,0
,0,16861,2,311.1251,1.567059,0.8240397,,,,,0,0,311.1251,10320.39,9395.983,5080.146,5188.898,5599.779,6273.549
,0,16862,2,271.0249,2.071381,0.8328817,,,,,0,0,271.0249,1962.368,2209.626,4820.827,6283.58,12184.7,15998.51
,0,16863,4,145.9768,13.44427,0.8437297,,,,,0,0,145.9768,7727.782,17411.52,12159.3,2019.894,3937.277,3470.593
,0,16864,5,568.2242,2.888245,0.8449233,,,,,0,0,568.2242,12846.8,13106.33,11363.66,16771.22,11568.15,26936.58
,0,16865,1,263.0638,1.93622,0.8129214,,,,,0,0,263.0638,0,14088.65,14062.23,8814.003,20206.47,8841.17
,0,16866,6,421.2631,1.878381,0.8531051,,,,,0,0,421.2631,227538.5,180969.9,174354.8,215897.3,232513.8,224449.8
,0,16867,4,157.0551,13.45572,0.8400092,,,,,0,0,157.0551,179079,129937.4,106068.2,25718.64,15942.59,29107.32
,0,16868,1,370.0693,4.023461,0.7335226,,,,,0,0,370.0693,3372.046,5641.091,3158.091,8587.402,11511.91,5533.892
,0,16869,4,663.4326,2.566381,0.845969,,,,,0,0,663.4326,10766.67,26497.91,21762.72,9373.746,47612.73,35096.7
,0,16870,6,385.26,6.88242,0.8481795,,,,,0,0,385.26,20866.58,16627.02,18339.41,16491.18,11202.13,15811.59
,0,16871,2,282.0672,6.608225,0.8440604,,,,,0,0,282.0672,16501.85,17015.63,15403.33,15193.18,20328.15,24979.62
,0,16872,2,378.7454,4.045739,0.847034,,,,,0,0,378.7454,12773.67,9744.683,16796.48,0,0,0
,0,16873,6,255.0512,11.08844,0.8442081,,,,,0,0,255.0512,10760.76,9428.47,9536.691,16871.03,17271.93,21540.15
,0,16874,1,509.2389,4.023603,0.7273453,,,,,0,0,509.2389,12529.11,10850.31,3538.47,5161.201,9367.74,5526.792
,0,16875,6,265.1082,11.10231,0.8461065,,,,,0,0,265.1082,17414.79,18755.18,18616.39,22381.39,22720.48,23280.21
,0,16876,3,332.0113,11.1338,0.8476292,,,,,0,0,332.0113,0,0,0,20850.06,18744.6,16700.68
,0,16877,4,162.9769,2.073033,0.8332165,,,,,0,0,162.9769,16500.79,6344.041,10474.46,16228.53,5558.195,9074.125
,0,16878,2,614.6408,14.01142,0.8457862,,,,,0,0,614.6408,6252.895,18944.19,7078.799,0,0,0
,0,16879,3,711.4006,2.022677,0.8469147,,,,,0,0,711.4006,0,5486.377,5658.746,36446.82,67580.45,51007.97
,0,16880,5,645.2764,2.726067,0.8465801,,,,,0,0,645.2764,15355.73,21422.49,28743.48,17804.37,17261.37,9125.987
,0,16881,1,509.2954,3.92199,0.827408,,,,,0,0,509.2954,13003.85,4333.819,1408.416,2694.964,2985.182,0
,0,16882,1,178.9838,16.85595,0.5673798,,,,,0,0,178.9838,19584.14,17055.76,14953.75,18707.52,19282.24,17551.21
,0,16883,1,492.2166,2.692064,0.504649,,,,,0,0,492.2166,4371.783,13345.15,5128.969,4984.957,3437.414,9357.269
,0,16884,5,79.95365,13.74287,0.8485464,,,,,0,0,79.95365,8280.382,9815.834,14555.7,40432.58,17412.18,25562.82
,0,16885,1,262.1086,2.574403,0.7824684,,,,,0,0,262.1086,7770.094,5869.326,8621.681,3146.826,14055.95,6491.458
,0,16886,4,313.28,3.77322,0.8102252,,,,,0,0,313.28,16781.27,7053.874,20000.63,19896.59,10150.46,11495.83
,0,16887,3,317.289,4.643878,0.8439084,,,,,0,0,317.289,0,0,0,23945.56,15697.52,14651.86
,0,16888,3,241.1559,6.773739,0.8421277,,,,,0,0,241.1559,797.3909,1316.773,2717.646,17369.18,21308.05,25211.69
,0,16889,6,75.0433,2.726614,0.8470376,,,,,0,0,75.0433,10567.98,11297.94,11223.69,10341.61,9981.032,8121.337
,0,16890,1,72.56642,11.6393,0.8427708,,,,,0,0,72.56642,0,0,0,22478.22,0,0
,0,16891,4,937.427,2.764231,0.8477865,,,,,0,0,937.427,16514.85,8150.613,12709.67,20021.42,7793.828,7246.109
,0,16892,3,232.0066,13.24134,0.8437603,,,,,0,0,232.0066,0,2597.751,3230.508,7744.811,19256.44,19237.84
,0,16893,1,309.0616,2.051506,0.7960864,,,,,0,0,309.0616,11589.72,9516.799,4230.122,9157.33,3491.859,9698.903
,0,16894,3,74.98915,2.467429,0.845989,,,,,0,0,74.98915,25053.16,34667.67,52004.04,0,0,14446.35
,0,16895,4,96.0455,4.089431,0.8405865,,,,,0,0,96.0455,5932.828,6758.732,10618.63,12060.22,3930.457,11692.82
,0,16896,3,218.9969,2.218142,0.8415837,,,,,0,0,218.9969,6487.62,5840.773,5922.992,15834.06,15787.77,15508.39
,0,16897,3,283.0231,13.87496,0.8407451,,,,,0,0,283.0231,2006.43,3327.829,2501.422,13920.92,18764.68,16408.5
,0,16898,1,283.0614,3.990311,0.7738047,,,,,0,0,283.0614,4158.313,4720.928,4704.429,9341.351,3832.462,12716.87
,0,16899,2,325.1846,2.296783,0.6639956,,,,,0,0,325.1846,566683.8,799436.3,447559.8,264780.5,337198.6,208926.4
,0,16900,1,322.247,3.987128,0.8170309,,,,,0,0,322.247,8268.256,3673.025,4326.75,11805.68,4524.315,17483.66
,0,16901,3,133.0892,13.4573,0.8420196,,,,,0,0,133.0892,0,0,0,19264.14,16802.62,18853.86
,0,16902,2,312.2184,4.039373,0.796968,,,,,0,0,312.2184,0,0,0,3225.033,16097.22,10339.03
,0,16903,3,702.6938,14.27725,0.8457875,,,,,0,0,702.6938,13056.49,11436.78,16837.91,0,0,0
,0,16904,3,214.0279,6.669519,0.8352247,,,,,0,0,214.0279,20366.51,18782.4,19771.86,13191.13,18240.41,20315.83
,0,16905,6,629.2818,2.765447,0.8428499,,,,,0,0,629.2818,12516.84,13546.73,8855.07,10947.23,12678.19,10391.87
,0,16906,3,272.174,2.407928,0.8437931,,,,,0,0,272.174,16206.09,9119.736,8848.001,17985.84,21984.98,18662.53
,0,16907,1,764.783,13.43883,0.8034728,,,,,0,0,764.783,10896.84,22290.35,5892.368,0,0,0
,0,16908,1,746.7332,13.93015,0.7129267,,,,,0,0,746.7332,13748.99,6093.385,9323.548,0,1747.656,0
,0,16909,3,439.9962,13.29383,0.8476135,,,,,0,0,439.9962,14724.02,14266.03,7210.002,12743.97,3252.791,1256.303
,0,16910,1,71.0498,3.936486,0.8063788,,,,,0,0,71.0498,14693.29,7311.294,6797.192,7413.543,6707.703,5007
,0,16911,1,112.98,2.456606,0.8101245,,,,,0,0,112.98,7032.27,6599.069,15854.3,2662.863,4703.258,6183.164
,0,16912,4,712.3035,2.796606,0.8429263,,,,,0,0,712.3035,4783.22,5517.421,11686.07,16775.78,11020.79,9109.895
,0,16913,1,97.08712,13.97993,0.8167981,,,,,0,0,97.08712,15272.71,7903.461,6304.225,0,0,0
,0,16914,1,297.9637,5.186958,0.8117202,,,,,0,0,297.9637,18571.47,15330.41,13613.86,10879.35,7696.186,6716.501
