"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-process-blank-A","nega-process-blank-A-end","nega-process-blank-B","nega-process-blank-B-end","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
4419,760.0728,13.78453,NA,NA,0,FALSE,21626.4356130264,9945.73250836605,24016.9646650593,767,677,233,853,21556.2832083693,67880.0114263785,30164.1761235833
4420,371.3167,4.004169,"C22H44O4","MG(19:0/0:0/0:0)",2.21802932608745,FALSE,3911.90228863098,11985.1823435108,9728.23606623046,20000.07,27552.23,10455.54,11076.48,151306.262650971,164485.447513095,148401.987206972
4421,172.9913,3.970834,"C6H6O4S","Phenol sulphate",0,TRUE,153102.724997654,130378.307104343,114002.689944274,142184.8,112372.4,165306.4,109780.2,141254.013032852,121898.987769245,107892.086520069
4422,617.0651,1.892278,NA,NA,0,TRUE,89094.4980765044,109873.908018362,90015.0194720121,119217.3,148657.6,80394.63,94214.01,85308.1698734794,95392.6372079306,115249.357100559
4423,580.3607,6.886067,NA,NA,1.62729046961407,FALSE,55.9391356884098,669.27086284448,2670.62128845715,174,846,1472,1978,143914.972688995,154468.955856499,169335.691014953
4424,619.1671,2.313413,"C29H32O15","Camellianin A",0,TRUE,37100.0073588976,53378.3713914062,100364.155414851,40137.19,68900.98,54400.56,48190.1,27324.1752550922,38086.7218945288,88119.0345743414
4425,705.1827,2.505274,"C36H34O15","6-({8-[3,7-dihydroxy-2-(3-hydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-yl]-3,5-dihydroxy-2-(3-hydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-7-yl}oxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",0,TRUE,48499.0585214338,12063.7687741114,60653.4087102368,139411.6,93188.41,123521.1,126652.8,138902.222298477,125129.50017997,134911.871701539
4426,239.1655,2.477046,"C14H24O3","L-Menthyl acetoacetate",0,TRUE,107591.719954173,115896.88920983,122892.835900316,74366.22,148399.1,109870.2,162842.6,54432.7841970877,80847.954168765,76408.4085953904
4427,279.1029,2.501495,"C18H16O3","Phenprocoumon",1.73923715506383,TRUE,51484.0568619761,33255.0446669322,38837.684069231,135021.2,116360.2,112976.8,157148.8,81237.6839114608,74430.6648775615,89951.0259297362
4428,535.1324,1.946602,NA,NA,0,TRUE,64226.0775820779,100523.38113975,71378.0300916419,35877,75214.4,50458.81,144764.7,91413.7018644535,73006.5372733541,60077.3001727094
4429,337.222,1.919432,NA,NA,0,TRUE,65523.413713953,33591.9406971092,76632.1512607259,90731.31,102621.8,102380.5,44964.93,52031.718807003,67573.1278220792,53065.3297076677
4430,785.102,1.874452,NA,NA,0,TRUE,130981.701364933,122936.037381421,161011.822724273,98436.04,162828.5,156718.2,158944.8,128760.840425283,109165.089470381,112187.610993233
4431,571.4006,2.30499,"C35H56O6","22-Angeloylbarringtogenol C",0,TRUE,64324.6380361504,84694.5127559827,63037.2753000054,87157.14,100577.6,138126.8,147855.5,108400.120307806,89874.0461692042,68365.4284720931
4432,209.0821,2.180237,"C11H14O4","Sinapyl alcohol",2.23343101342264,TRUE,89084.493577237,102402.283919493,103642.21256005,138614.2,173011.1,175527.7,139132.5,148787.658107252,150803.914653245,178887.536095511
4434,629.4697,2.25072,NA,NA,0,TRUE,64179.6265844043,72743.5066566993,52363.5979769735,119019.6,117844.2,104084.3,124123.3,144678.413813144,132017.42221715,53520.261124054
4435,456.0313,2.7106965,"C11H17N5O11P2","7-Methylguanosine 5'-diphosphate",0,FALSE,132066.275145723,192839.98701122,148212.087281049,38422.43,5813.663,78658.12,35732.13,1528.89757164056,9245.73349155134,32991.7147773819
4436,443.074333333333,1.87100133333333,NA,NA,0,TRUE,89030.5338263499,96086.6387089503,98392.7562791291,153282.1,131832.8,125518.3,166273,85703.8328088557,110583.432150941,107219.275923537
4437,243.0622,7.37231,"C9H12N2O6","Uridine",3.73995247500468,FALSE,6550.66534882987,7197.04932421367,5465.94949974277,2238,1934,1354,1193,172392.041143495,173284.372910831,175858.232202005
4442,156.964475,13.427245,NA,NA,0,FALSE,17141.7413172561,25776.037430258,27517.0117679287,2363,5883.098,3594.458,4041.559,3234.51976318724,208.21956450365,4629.58867113497
4443,511.3499,6.46967,NA,NA,0,TRUE,5486.76645744027,10463.6846812673,15868.5359268795,146884.5,140961.5,151474.9,108585.9,17727.1596982236,12183.9536843815,12583.9450447441
4445,457.1873,2.529745,"C25H30O8","Austinol",0,TRUE,64722.5266537864,53458.0268736346,56079.4478082253,156133,170471.6,133123.5,145182,56201.3311957605,68020.5831866678,53560.6336568085
4446,337.2386,2.478977,"C20H34O4","14,15-DiHETrE",1.81784223366522,TRUE,87405.3836018146,77860.633632891,74319.6607220054,101639.9,108111.8,141430.8,156825,104949.428718463,146883.733820725,141369.820733147
4448,728.5233,4.099904,"C40H76NO8P","PC(14:0/18:2(9Z,12Z))",2.58883502624481,FALSE,126789.170720348,175254.533171462,137113.89426135,2199,725,335,1854,648.567693661783,1496.16592050587,2215.42325009063
4451,194.9844,13.93333,NA,NA,1.71590780935717,FALSE,25818.3315635723,59729.183946123,44521.2794175044,1045,2248,477,2411,2170.13681678639,320.337791544077,1354.19451082936
4452,552.32925,2.5877315,NA,NA,1.86131844648963,FALSE,8184.24194355458,8416.54324237929,1631.07977715217,12148.04,7722.922,6427.316,6974.869,117199.38844091,146361.017918524,150627.542559878
