"node1","node2","time_dif","mz_dif","correlation","mz_node1","mz_node2","log10_inten_node1","log10_inten_node2","log10_inten_ratio","category","type","mz_dif_score","time_dif_score","color","Confidence"
21393,9252,-0.00843999999999978,0.99365,0.811244049291675,233.0055,233.0055,4.69378703389223,3.9274503527842,0.766336681108032,"natural_abundance","15N",0.074499176143717,0.977487522832941,5,1.86323074826833
2670,6681,0.0100700000000007,0.99367,0.883651046582896,96.9727533333333,97.96642,5.07089974758559,4.69255890916765,-0.378340838417941,"natural_abundance","15N",0.0760343189304992,0.97446390073489,5,1.93414926624828
7580,3256,-0.0129299999999999,0.9937,0.83278418269362,169.0345,169.0345,5.23836442722007,4.18623993555285,1.05212449166722,"natural_abundance","15N",0.0783787833544012,0.949985628694517,5,1.86114859474254
24003,12196,-0.0721809999999996,0.9937,0.873188750806875,344.0657,344.0657,4.3778048386849,3.72421024247316,0.653594596211746,"natural_abundance","15N",0.0783787833544012,0.223333216260545,5,1.17490075042182
8632,2031,-0.0019070000000001,0.9937,0.938948810755669,244.0495,244.0495,5.34394294283448,4.60748334972929,0.736459593105188,"natural_abundance","15N",0.0783787833544012,0.998330815073628,5,2.0156584091837
22893,14210,-0.0408429999999997,0.9937,0.938089542780188,349.1367,349.1367,4.39366345697841,3.97195614338616,0.421707313592255,"natural_abundance","15N",0.0783787833544012,0.615539814877521,5,1.63200814101211
16020,13263,-0.0455699999999997,0.9937,0.950919522383677,632.8809,632.8809,4.0788783406754,4.09479910731738,-0.0159207666419761,"natural_abundance","15N",0.0783787833544012,0.547439022978966,5,1.57673732871704
21672,22259,-0.0402900000000006,0.9937,0.879950473056862,276.0437,276.0437,3.92626499739846,3.87384198472673,0.0524230126717238,"natural_abundance","15N",0.0783787833544012,0.623524526773406,5,1.58185378318467
25960,13093,-0.00999999999999979,0.9937,0.935848324658702,706.0219,706.0219,4.19905729635583,3.71662326003077,0.482434036325061,"natural_abundance","15N",0.0783787833544012,0.969098724934207,5,1.98332583294731
13758,3286,0.00556100000000015,0.9937,0.868375267493281,151.9637,152.9574,4.06631015627182,5.11384685026078,1.04753669398896,"natural_abundance","15N",0.0783787833544012,0.992818310524868,5,1.93957236137255
3875,23096,0.000234999999999985,0.9937,0.865582825146462,168.0411,169.0348,4.87189158920796,3.81651912642357,-1.05537246278439,"natural_abundance","15N",0.0783787833544012,0.999976971736641,5,1.9439385802375
4034,2188,0.0137670000000001,0.9937,0.950485474279394,150.0129,151.0066,4.91837899435767,5.28525211930305,0.366873124945386,"natural_abundance","15N",0.0783787833544012,0.951446178753533,5,1.98031043638733
10461,6786,0.014799,0.9937,0.984359103217463,302.0191,303.0128,4.38997122859106,4.71100271346866,0.321031484877603,"natural_abundance","15N",0.0783787833544012,0.943811194521027,5,2.00654908109289
21533,12665,0.00061499999999981,0.9937,0.909491594959093,412.0919,413.0856,3.96316444294427,4.41922420795083,0.456059765006557,"natural_abundance","15N",0.0783787833544012,0.999997437241273,5,1.98786781555477
12869,6733,0.0135969999999999,0.9937,0.976427135054237,342.1045,343.0982,4.46728713685176,4.87594604237299,0.408658905521229,"natural_abundance","15N",0.0783787833544012,0.952654577449086,5,2.00746049585772
1979,629,0.00656999999999996,0.9937,0.825796821202694,216.0361,217.0298,5.54028341460512,6.24233868537878,0.702055270773658,"natural_abundance","15N",0.0783787833544012,0.98967204976192,5,1.89384765431902
5436,5287,0.0957600000000003,0.9937,0.999812036525515,649.8781,650.8718,4.77724081171789,4.82204400865517,0.0448031969372726,"natural_abundance","15N",0.0783787833544012,0.0763301465528999,5,1.15452096643282
18103,18974,0.0237599999999993,0.9937,0.954372092947991,676.8885,677.8822,3.81411285695105,3.88761341867082,0.0735005617197699,"natural_abundance","15N",0.0783787833544012,0.857969219619925,5,1.89072009592232
21397,12830,0.0271799999999995,0.9937,0.96224711913719,303.9514,304.9451,3.84287663941099,4.04794396367817,0.205067324267176,"natural_abundance","15N",0.0783787833544012,0.817429681255748,5,1.85805558374734
18325,13542,0.0755299999999988,0.99378,0.940170603922442,78.97165,79.96543,3.70396040702861,4.05115992147553,0.347199514446917,"natural_abundance","15N",0.0848772624622473,0.202740128133995,5,1.22778799451868
11798,11982,-0.0313199999999991,0.9938,0.933460342288248,952.7167,952.7167,4.29041732709024,4.35687368896885,-0.0664563618786129,"natural_abundance","15N",0.0865582243550053,0.750109523723654,5,1.77012809036691
15789,15212,-0.00319000000000003,0.9938,0.974769287415761,864.0193,864.0193,4.20037122442221,4.00249572672503,0.197875497697177,"natural_abundance","15N",0.0865582243550053,0.996103856252351,5,2.05743136802312
7744,4243,0.0700129999999994,0.9938,0.989271471297239,280.0076,281.0014,4.57637540892379,4.98928210430676,0.412906695382969,"natural_abundance","15N",0.0865582243550053,0.254179125498656,5,1.3300088211509
23900,19490,0.027425,0.9938,0.847546594008945,409.1981,410.1919,3.86957370932542,4.04642686066114,0.176853151335715,"natural_abundance","15N",0.0865582243550053,0.814392727218071,5,1.74849754558202
19459,16812,0.0498699999999985,0.9938,0.992257743062498,439.9971,440.9909,3.95584653775607,4.13243797736204,0.176591439605974,"natural_abundance","15N",0.0865582243550053,0.501198331479808,5,1.58001429889731
232,200,-0.00320825000000013,0.99385,0.998698439307924,240.0631,240.0631,6.69934275851824,6.4750603306748,0.224282427843446,"natural_abundance","15N",0.0908596609903895,0.996065505749795,5,2.08562360604811
16995,1149,-0.0147620000000002,0.99389,0.902096844260187,75.0178775,75.01788,5.91066039897626,4.31163471385312,1.59902568512314,"natural_abundance","15N",0.0944028498017189,0.935908419137683,5,1.93240811319959
6221,269,-0.084794,0.9939,0.965686466736249,374.255,374.255,6.53739728896715,4.78136924326932,1.75602804569783,"natural_abundance","15N",0.0953028292870683,0.126898080299856,5,1.18788737632317
18189,15635,-0.0279669999999994,0.9939,0.996189763400266,531.306,531.306,4.18404930753981,4.15844059775944,0.0256087097803679,"natural_abundance","15N",0.0953028292870683,0.79440245050736,5,1.88589504319469
16331,26314,-0.0138599999999993,0.9939,0.998851690457573,157.9303,157.9303,4.38802250966401,4.20987201689611,0.178150492767901,"natural_abundance","15N",0.0953028292870683,0.943037528041047,5,2.03719204778569
6153,20960,-0.0948200000000003,0.9939,0.871839483835216,306.919,306.919,3.61480507679929,4.42390896397463,-0.80910388717534,"natural_abundance","15N",0.0953028292870683,0.0759191284212025,5,1.04306144154349
4094,23247,-0.0149299999999997,0.9939,0.833062058290751,528.9669,528.9669,3.28282758198995,4.16357697722922,-0.880749395239271,"natural_abundance","15N",0.0953028292870683,0.93453892035744,5,1.86290380793526
18552,3069,-0.0358499999999999,0.9939,0.851760323833428,386.0162,386.0162,5.11383437860487,3.89476172438299,1.21907265422188,"natural_abundance","15N",0.0953028292870683,0.687169554925913,5,1.63423270804641
12518,9303,0.00786000000000087,0.9939,0.945073033243753,493.859,494.8529,4.27881882403843,4.52996347513686,0.251144651098437,"natural_abundance","15N",0.0953028292870683,0.984835345305521,5,2.02521120783634
19129,14658,0.0480900000000002,0.9939,0.922580086893125,409.0025,409.9964,3.97044458924507,4.17536968284658,0.204925093601509,"natural_abundance","15N",0.0953028292870683,0.52633222333934,5,1.54421513951953
9683,640,-0.00817666666670114,0.99396,0.88849321857067,89.03372,89.0337233333333,6.13455266408249,4.6494771658356,1.4850754982469,"natural_abundance","15N",0.100821773195931,0.978777426047583,5,1.96809241781418
25299,15021,-0.00467499999999887,0.99399,0.914536499876575,88.05253,88.052525,4.23069210077024,4.0771747618111,0.153517338959136,"natural_abundance","15N",0.103657667133803,0.992374850470417,5,2.0105690174808
10593,14772,-0.0108700000000006,0.994,0.978842350481987,480.9345,480.9345,4.22420961681196,4.28181987969335,-0.0576102628813899,"natural_abundance","15N",0.10461425896056,0.963873539697266,5,2.04733014913981
7978,7954,-0.0967699999999994,0.994,0.988645998591837,651.8573,651.8573,4.58128202942218,4.55096252578785,0.0303195036343347,"natural_abundance","15N",0.10461425896056,0.0682467842234223,5,1.16150704177582
2735,1129,-0.0439899999999991,0.994,0.996731117491708,647.8795,647.8795,5.62539045213039,5.16212585838612,0.463264593744261,"natural_abundance","15N",0.10461425896056,0.570122746958485,5,1.67146812341075
15320,7379,-0.0427499999999998,0.994,0.984975428279944,315.8994,315.8994,4.50745067840226,4.12741118117382,0.380039497228434,"natural_abundance","15N",0.10461425896056,0.58799806610941,5,1.67758775334991
21739,23309,-0.05349,0.994,0.989786029091569,377.9481,377.9481,3.83873682054454,3.91478507326031,-0.0760482527157746,"natural_abundance","15N",0.10461425896056,0.437201436191162,5,1.53160172424329
10993,8401,0.039301,0.994,0.95543091248339,317.2446,318.2386,4.21549180053303,4.50323608856222,0.287744288029191,"natural_abundance","15N",0.10461425896056,0.652746303379506,5,1.71279147482346
18212,12418,0.0620389999999995,0.994,0.942107826333249,470.1444,471.1384,4.28295244295557,4.56975818577153,0.286805742815962,"natural_abundance","15N",0.10461425896056,0.341839659068272,5,1.38856174436208
16993,8783,0.00253999999999976,0.99407,0.920641449501024,78.96893,79.963,4.01510221845224,4.48092953315108,0.465827314698838,"natural_abundance","15N",0.111467840571656,0.998843293123858,5,2.03095258319654
7389,3794,-0.0231499999999993,0.9941,0.977737069943902,576.9132,576.9132,4.96895132221643,4.5836770470979,0.385274275118531,"natural_abundance","15N",0.11448895894815,0.853075958309267,5,1.94530198720132
1412,637,-0.0853199999999994,0.9941,0.999603812835285,549.9028,549.9028,5.94608180017727,5.49134809903675,0.454733701140515,"natural_abundance","15N",0.11448895894815,0.123698872672844,5,1.23779164445628
18120,5343,-0.0116099999999992,0.9941,0.892668525980184,331.8737,331.8737,4.24095282561911,3.45175878609675,0.789194039522357,"natural_abundance","15N",0.11448895894815,0.959127151621666,5,1.96628463655
14708,17581,0.0426000000000002,0.9941,0.88295653998342,691.8108,692.8049,3.92816131430297,3.7459688869552,-0.182192427347766,"natural_abundance","15N",0.11448895894815,0.605181220090156,5,1.60262671902173
14580,21198,-0.019165000000001,0.99415,0.982702376509643,342.88585,342.88585,3.7181263699336,4.84729552293561,-1.12916915300201,"natural_abundance","15N",0.119634883430108,0.895919554694908,5,1.99825681463466
6737,25698,0.029973,0.99415,0.998884158017103,138.9439,139.93805,4.62233028223667,5.28153381995104,0.659203537714369,"natural_abundance","15N",0.119634883430108,0.781889738375676,5,1.90040877982289
19095,14710,-0.0559100000000008,0.99416,0.979814355008052,95.9615033333333,95.9615,4.79013227766878,3.86959727309569,0.920535004573088,"natural_abundance","15N",0.120680556632244,0.405285022637629,5,1.50577993427793
22582,772,0.099335,0.99417,0.962997188567778,88.04919,89.0433633333333,4.39383789390267,5.87632630922497,1.48248841532231,"natural_abundance","15N",0.121731690994929,0.0626963047780957,5,1.1474251843408
6760,4894,-0.0445339999999996,0.9942,0.854122575386999,211.0658,211.0658,3.52260902981616,3.65093781269602,-0.128328782879864,"natural_abundance","15N",0.124917695500826,0.562298354932411,5,1.54133862582024
15220,7789,-0.04603,0.9942,0.956123977524812,355.9527,355.9527,4.54228516802958,4.01825023253066,0.524034935498922,"natural_abundance","15N",0.124917695500826,0.540862181148639,5,1.62190385417428
5370,1691,-9.00000000001455e-05,0.9942,0.990449447879169,589.8378,589.8378,5.40257659163176,4.87203656974614,0.530540021885622,"natural_abundance","15N",0.124917695500826,0.999894487363772,5,2.11526163074377
7051,15750,0.0829959999999998,0.9942,0.990197175008189,356.026,357.0202,4.61308223984804,4.73250630793391,0.119424068085878,"natural_abundance","15N",0.124917695500826,0.145247433390326,5,1.26036230389934
209,343,0.0341339999999999,0.9942,0.976148455766599,418.1401,419.1343,4.37347425876662,4.20960754247345,-0.163866716293168,"natural_abundance","15N",0.124917695500826,0.725806658670562,5,1.82687280993799
21906,16189,0.0277499999999993,0.9942,0.985345946151803,469.0228,470.017,3.83894937600649,4.12555971356077,0.286610337554281,"natural_abundance","15N",0.124917695500826,0.810338940726769,5,1.9206025823794
10575,9681,0.0282499999999999,0.9942,0.932028831216682,279.9529,280.9471,4.25709680663757,4.29756972239391,0.0404729157563386,"natural_abundance","15N",0.124917695500826,0.804047636610704,5,1.86099416332821
1459,12429,0.0213709999999998,0.99423,0.859077221452052,358.2968,359.291033333333,5.57196541278343,4.25431928923488,-1.31764612354855,"natural_abundance","15N",0.128152227563901,0.883988193277033,5,1.87121764229299
11442,9024,-0.00933000000000028,0.99427,0.979619396200174,805.75033,805.750333333333,3.93380529968886,4.33424426077887,-0.400438961090009,"natural_abundance","15N",0.132539508622708,0.972857272079797,5,2.08501617690268
1966,2953,-0.0695869999999998,0.99428,0.952547174904171,166.050853333333,166.05085,5.13007324074919,5.50486605599273,-0.374792815243542,"natural_abundance","15N",0.133649502403083,0.24807540673196,5,1.33427208403921
22966,21885,-0.0389300000000006,0.9943,0.952958953036428,324.9933,324.9933,3.87703954642426,3.78434216421702,0.0926973822072354,"natural_abundance","15N",0.135885136562709,0.643130061606933,5,1.73197415120607
3576,23550,-0.050654999999999,0.9943,0.993631587308569,507.8915,507.8915,5.54742452248247,5.05397395463554,0.493450567846933,"natural_abundance","15N",0.135885136562709,0.475787536257524,5,1.6053042601288
14921,21085,-0.0336600000000011,0.9943,0.915756187015702,388.1441,388.1441,3.85936312514172,4.19324582197732,-0.333882696835599,"natural_abundance","15N",0.135885136562709,0.717951960584685,5,1.7695932841631
12233,9905,-0.0137,0.9943,0.966587466718604,299.9257,299.9257,4.41671086511006,4.29141991109635,0.125290954013709,"natural_abundance","15N",0.135885136562709,0.944262265114338,5,2.04673486839565
1506,23834,0.0769130000000002,0.9943,0.929949349168825,375.0424,376.0367,5.482528267488,4.43189942009731,-1.05062884739069,"natural_abundance","15N",0.135885136562709,0.191050192441973,5,1.25688467817351
19260,18782,0.0579799999999988,0.9943,0.971992087308989,130.0395,131.0338,4.00010871201609,4.23230216661358,0.23219345459749,"natural_abundance","15N",0.135885136562709,0.392021071045833,5,1.49989829491753
3064,1200,0.00259999999999927,0.9943,0.992258464903828,687.8146,688.8089,5.08721890725197,5.58749205498899,0.500273147737024,"natural_abundance","15N",0.135885136562709,0.998773602085663,5,2.1269172035522
19637,19922,-0.0662470000000002,0.99433,0.868163085516625,75.02036,75.02036,4.10949023925605,4.16741246534859,-0.0579222260925345,"natural_abundance","15N",0.139277332779116,0.282420015093013,5,1.28986043338875
810,3163,-0.0686420000000001,0.99435,0.983509596319441,374.2915,374.2915,4.98347273109394,5.84145366063229,-0.857980929538344,"natural_abundance","15N",0.141564322126537,0.257510543762906,5,1.38258446220888
4279,1738,-0.00174999999999947,0.9944,0.998713853584719,551.8818,551.8818,5.41180947475158,4.92768267238074,0.484126802370844,"natural_abundance","15N",0.147369490058467,0.998539637643537,5,2.14462298128672
11344,5562,-0.0596899999999998,0.9944,0.978847273388189,885.7474,885.7474,4.77352754586286,4.38278328942242,0.390744256440442,"natural_abundance","15N",0.147369490058467,0.357644594219188,5,1.48386135766584
10188,7958,-0.00870000000000104,0.9944,0.969973863264982,315.9093,315.9093,4.52324999519741,4.34119518447439,0.182054810723019,"natural_abundance","15N",0.147369490058467,0.976177941727368,5,2.09352129505082
967,13759,-0.029679999999999,0.9944,0.820144165153842,364.9607,364.9607,3.87421346567616,5.30137586755329,-1.42716240187713,"natural_abundance","15N",0.147369490058467,0.772071362591225,5,1.73958501780353
20967,16721,0.0577879999999995,0.9944,0.867747409434022,458.1511,459.1455,4.16972536321741,4.31304940800125,0.143324044783831,"natural_abundance","15N",0.147369490058467,0.394477960293139,5,1.40959485978563
14438,9223,0.01403,0.9944,0.934570440510771,241.9558,242.9502,4.10598435138891,4.56563325607,0.459648904681093,"natural_abundance","15N",0.147369490058467,0.949549064006128,5,2.03148899457537
13680,10208,0.0460000000000012,0.9944,0.826245442345882,263.9585,264.9529,4.27298456395108,4.4029004286002,0.129915864649128,"natural_abundance","15N",0.147369490058467,0.556179409435453,5,1.5297943418398
1867,13781,0.0209299999999999,0.99445,0.966530734005335,112.0166,113.01105,5.5107677970586,4.19276480155861,-1.31800299549998,"natural_abundance","15N",0.15329685896558,0.888562179654092,5,2.00838977262501
24699,24396,-0.0163700000000002,0.9945,0.90657477787692,513.074,513.074,3.64684836444012,3.81600795597958,-0.169159591539457,"natural_abundance","15N",0.159342211492017,0.922276361355453,5,1.98819335072439
15731,10709,-0.0147899999999996,0.9945,0.843906788136125,268.9669,268.9669,4.54113403037335,4.06398103306582,0.47715299730753,"natural_abundance","15N",0.159342211492017,0.935681070358911,5,1.93893006998705
15538,7644,-0.00360000000000049,0.9945,0.994536611980909,578.8925,578.8925,4.62739201760876,4.14134063732092,0.486051380287845,"natural_abundance","15N",0.159342211492017,0.995197301526289,5,2.14907612499921
25630,19384,-0.0445600000000006,0.9945,0.984724793409663,388.0742,388.0742,3.80557164895904,4.22653555097032,-0.420963902011282,"natural_abundance","15N",0.159342211492017,0.561924733605015,5,1.70599173850669
2065,5050,-0.0965100000000003,0.9945,0.972304280633807,195.9502,195.9502,4.83659562314182,5.27167962552067,-0.435084002378843,"natural_abundance","15N",0.159342211492017,0.0692317834496383,5,1.20087827557546
21006,6183,0.0296030000000003,0.9945,0.84245794636705,379.0562,380.0507,4.07070399443732,4.08358472908003,0.0128807346427111,"natural_abundance","15N",0.159342211492017,0.786707590083699,5,1.78850774794277
257,449,0.0573730000000001,0.9945,0.99857425744716,210.0694,211.0639,5.19381604206979,4.8420579536165,-0.351758088453292,"natural_abundance","15N",0.159342211492017,0.399812594980988,5,1.55772906392016
21394,24197,0.0639440000000002,0.9945,0.893641899275692,287.0546,288.0491,3.86974999123277,4.01331199050756,0.143561999274796,"natural_abundance","15N",0.159342211492017,0.31952446018521,5,1.37250857095292
784,1933,0.0651500000000009,0.9945,0.965753746191464,226.0645,227.059,4.3830787440861,3.90215173052643,-0.480927013559671,"natural_abundance","15N",0.159342211492017,0.305830911245847,5,1.43092686892933
15479,6194,0.0315899999999996,0.9945,0.997651462950846,591.8169,592.8114,4.02015354793697,4.73246746299318,0.712313915056209,"natural_abundance","15N",0.159342211492017,0.760484946867497,5,1.91747862131036
