"ID","mz","RT","MF","category","compound_name","Score","Predict_formula","degree"
30143,787.1728,0,"C27H35N9O15P2",0,"FADH",NA,NA,0
30144,787.2899,0,"C35H49NO19",0,"Phyllanthusol A",NA,NA,1
30145,787.5152,0,"C45H74NO8P",0,"PE(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",NA,NA,0
30146,787.5363,0,"C42H78NO10P",0,"PS(18:0/18:2(9Z,12Z))",NA,NA,7
30147,787.6091,0,"C44H86NO8P",0,"PC(14:0/22:1(13Z))",NA,NA,1
30148,787.6455,0,"C45H90NO7P",0,"PE(22:0/P-18:0)",NA,NA,0
30149,788.0718,0,"C20H27N10O18P3",0,"Diguanosine triphosphate",NA,NA,0
30150,788.1072,0,"C34H28O22",0,"2,3,4,6-Tetragalloyl-D-glucopyranose",NA,NA,1
30151,788.1622,0,"C36H36O18S",0,"(3-{3,5,7-trihydroxy-4-[3,5,7-trihydroxy-2-(3-hydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-8-yl]-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-3,4-dihydro-2H-1-benzopyran-2-yl}phenyl)oxidanesulfonic acid",NA,NA,1
30152,788.2011,0,"C33H40O22",0,"Quercetin 3,7,4'-O-triglucoside",NA,NA,0
30153,788.263,0,"C31H45N6O16P",0,"5,10-Methylenetetrahydromethanopterin",NA,NA,0
30154,788.2784,0,"C36H45ClN6O12",0,"Phomopsin A",NA,NA,1
30155,788.3831,0,"C38H60O17",0,"Dulcoside A",NA,NA,0
30156,788.4194,0,"C39H64O16",0,"Balagyptin",NA,NA,0
30157,788.4605,0,"C37H74O13P2",0,"PGP(a-13:0/i-18:0)",NA,NA,1
30158,788.6295,0,"C45H89O8P",0,"PA(18:0/24:0)",NA,NA,0
30159,788.6771,0,"C45H93N2O6P",0,"SM(d18:0/22:0)",NA,NA,0
30160,788.6894,0,"C50H92O6",0,"TG(14:0/15:0/18:2(9Z,12Z))",NA,NA,0
30161,788.7258,0,"C51H96O5",0,"DG(24:1(15Z)/24:1(15Z)/0:0)",NA,NA,0
30162,788.8541,0,"C18H22I3N3O8",0,"Metrizamide",NA,NA,0
30163,789.4663,0,"C43H67NO12",0,"13-Demethyl tacrolimus",NA,NA,0
30164,789.5309,0,"C45H76NO8P",0,"PE(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",NA,NA,0
30165,789.552,0,"C42H80NO10P",0,"PS(18:0/18:1(9Z))",NA,NA,7
30166,789.5672,0,"C46H80NO7P",0,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:1(11Z))",NA,NA,0
30167,789.6248,0,"C44H88NO8P",0,"PC(14:0/22:0)",NA,NA,0
30168,789.9938,0,"C18H26N4O23P4",0,"P1,P4-Bis(5'-uridyl) tetraphosphate",NA,NA,0
30169,790.0865,0,"C33H26O23",0,"3,4,5-trihydroxy-6-({7,13,14-trihydroxy-3,10-dioxo-5-[5,6,7-trihydroxy-1-oxo-3-(1,2,3,4-tetrahydroxybutyl)-1H-isochromen-8-yl]-2,9-dioxatetracyclo[6.6.2.0<U+00A6><U+00A3><U+00A8><U+00B9><U+00A9><c8>,<U+00A9><U+00A7><U+00BA>g<U+00A6><U+00A3><U+00A8><U+00B9><U+00A8>f.0<U+00A9><U+00A7><U+00BA>g<U+00A9><U+00A7><U+00BA>g,<U+00A9><U+00A7><U+00BA>g<U+00A6><U+00A3><U+00A8><U+00B9><U+00A8>e]hexadeca-1(15),4(16),5,7,11,13-hexaen-6-yl}oxy)oxane-2-carboxylic acid",NA,NA,2
30170,790.1956,0,"C36H38O20",0,"6-{4-[12-(3,4-dihydroxyphenyl)-13-hydroxy-4-oxo-8-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-3,11-dioxatricyclo[8.4.0.0<U+00A9><U+00A7><U+00BA><U+0088>,<U+00A6><U+00A3><U+00A8><U+00B9><U+00A8>Z]tetradeca-1,7,9-trien-6-yl]-2-hydroxyphenoxy}-3,4,5-trihydroxyoxane-2-carboxylic acid",NA,NA,0
30171,790.2168,0,"C33H42O22",0,"3,4,5-trihydroxy-6-[4-(3-oxo-3-{2,3,4-trihydroxy-5-[hydroxy(3,4,5-trihydroxyoxan-2-yl)methyl]-6-oxo-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]cyclohexa-1,4-dien-1-yl}propyl)phenoxy]oxane-2-carboxylic acid",NA,NA,0
30172,790.4901,0,"C41H74O12S",0,"1,2-Di-O-(8-hexadecenoyl)-3-O-(6-sulfoquinovopyranosyl)glycerol",NA,NA,0
30173,790.5066,0,"C45H76O7P2",0,"Solanesyl-PP",NA,NA,0
30174,790.705,0,"C50H94O6",0,"TG(14:0/15:0/18:1(11Z))",NA,NA,0
30175,790.7414,0,"C51H98O5",0,"DG(24:0/24:1(15Z)/0:0)",NA,NA,0
30176,790.8697,0,"C18H24I3N3O8",0,"Iopromide",NA,NA,0
30177,791.5465,0,"C45H78NO8P",0,"PC(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",NA,NA,0
30178,791.5676,0,"C42H82NO10P",0,"PS(18:0/18:0)",NA,NA,3
30179,791.5829,0,"C46H82NO7P",0,"PC(20:4(5Z,8Z,11Z,14Z)/P-18:1(11Z))",NA,NA,0
30180,792.3218,0,"C40H48N4O13",0,"Bn-NCC-2",NA,NA,0
30181,792.3932,0,"C41H60O15",0,"Betavulgaroside II",NA,NA,2
30182,792.4144,0,"C38H64O17",0,"Lyciumoside II",NA,NA,1
30183,792.4296,0,"C42H64O14",0,"Mabioside C",NA,NA,0
30184,792.466,0,"C43H68O13",0,"Sanguisorbin E",NA,NA,0
30185,792.473,0,"C47H69O8P",0,"PA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",NA,NA,0
30186,792.4941,0,"C44H73O10P",0,"PG(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",NA,NA,1
30187,792.588,0,"C43H85O10P",0,"PG(a-13:0/i-24:0)",NA,NA,0
30188,792.6268,0,"C51H84O6",0,"TG(14:1(9Z)/14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",NA,NA,0
30189,792.7207,0,"C50H96O6",0,"TG(14:0/15:0/18:0)",NA,NA,0
30190,792.7571,0,"C51H100O5",0,"DG(24:0/24:0/0:0)",NA,NA,0
30191,793.4894,0,"C43H72NO10P",0,"PS(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",NA,NA,1
30192,793.5622,0,"C45H80NO8P",0,"PC(15:0/22:5(4Z,7Z,10Z,13Z,16Z))",NA,NA,0
30193,793.5985,0,"C46H84NO7P",0,"PC(20:3(5Z,8Z,11Z)/P-18:1(11Z))",NA,NA,0
30194,794.4089,0,"C41H62O15",0,"Betavulgaroside IV",NA,NA,1
30195,794.4453,0,"C42H66O14",0,"Calendulaglycoside E",NA,NA,0
30196,794.4816,0,"C43H70O13",0,"Hebevinoside XII",NA,NA,0
30197,794.4887,0,"C47H71O8P",0,"PA(22:5(4Z,7Z,10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",NA,NA,0
30198,794.5098,0,"C44H75O10P",0,"PG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",NA,NA,0
30199,794.5214,0,"C41H78O12S",0,"1,2-Di-O-palmitoyl-3-O-(6-sulfoquinovopyranosyl)glycerol",NA,NA,1
30200,794.6213,0,"C54H82O4",0,"Coenzyme Q9",NA,NA,0
30201,794.6424,0,"C51H86O6",0,"TG(14:0/14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",NA,NA,0
30202,795.1101,0,"C22H36N7O17P3S",0,"Formyl-CoA",NA,NA,0
30203,795.505,0,"C43H74NO10P",0,"PE(DiMe(11,3)/DiMe(9,3))",NA,NA,0
30204,795.5778,0,"C45H82NO8P",0,"PC(15:0/22:4(7Z,10Z,13Z,16Z))",NA,NA,0
30205,795.6142,0,"C46H86NO7P",0,"PC(20:2(11Z,14Z)/P-18:1(11Z))",NA,NA,1
30206,796.1698,0,"C34H36O22",0,"(-)-Epigallocatechin 3-gallate 7-glucoside 4""-glucuronide",NA,NA,0
30207,796.4146,0,"C43H60N2O12",0,"Mocimycin",NA,NA,0
30208,796.4609,0,"C42H68O14",0,"Soyasaponin III",NA,NA,0
30209,796.5043,0,"C47H73O8P",0,"PA(22:4(7Z,10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",NA,NA,0
30210,796.5254,0,"C44H77O10P",0,"PG(16:0/22:5(4Z,7Z,10Z,13Z,16Z))",NA,NA,0
30211,796.6581,0,"C51H88O6",0,"TG(14:0/14:0/20:5(5Z,8Z,11Z,14Z,17Z))",NA,NA,0
30212,797.4996,0,"C46H72NO8P",0,"PE-NMe(18:4(6Z,9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",NA,NA,0
30213,797.5207,0,"C43H76NO10P",0,"PS(15:0/22:4(7Z,10Z,13Z,16Z))",NA,NA,0
30214,797.5935,0,"C45H84NO8P",0,"PE(18:1(11Z)/22:2(13Z,16Z))",NA,NA,0
30215,797.6298,0,"C46H88NO7P",0,"PC(20:1(11Z)/P-18:1(11Z))",NA,NA,1
30216,798.1491,0,"C33H34O23",0,"Delphinidin 3,5-di(6-O-malonylglucoside)",NA,NA,2
30217,798.1643,0,"C37H34O20",0,"Apigenin 4'-[feruloyl-(->2)-glucuronyl-(1->2)-glucuronide]",NA,NA,1
30218,798.4448,0,"C38H72O13P2",0,"PGP(16:1(9Z)/16:1(9Z))",NA,NA,1
30219,798.4766,0,"C42H70O14",0,"Mabioside D",NA,NA,0
30220,798.52,0,"C47H75O8P",0,"PA(22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))",NA,NA,0
30221,798.5411,0,"C44H79O10P",0,"PG(16:0/22:4(7Z,10Z,13Z,16Z))",NA,NA,0
30222,798.6251,0,"C45H87N2O7P",0,"SM(d18:0/22:2(13Z,16Z)(OH))",NA,NA,0
30223,798.6374,0,"C50H86O7",0,"DG(13D5/13M5/0:0)",NA,NA,0
30224,798.6615,0,"C46H91N2O6P",0,"SM(d17:1/24:1(15Z))",NA,NA,0
30225,798.6737,0,"C51H90O6",0,"TG(14:0/14:0/20:4(5Z,8Z,11Z,14Z))",NA,NA,0
30226,799.399,0,"C39H61NO16",0,"Fumonisin FP1",NA,NA,0
30227,799.5152,0,"C46H74NO8P",0,"PC(18:4(6Z,9Z,12Z,15Z)/20:5(5Z,8Z,11Z,14Z,17Z))",NA,NA,0
