"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","artifact","log10_inten","mean_inten","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c","annotation"
17165,208.1102,2.726763,NA,NA,0,TRUE,NA,3.73571784869406,5441.49016666667,997,1563,5131.634,5424.277,16344.11,3188.92,"208.1102_2.726763"
25685,881.40025,2.726853,NA,NA,0,TRUE,NA,3.68809090629992,4876.3055,2718.764,5347.666,10154.96,4810.93,2801.901,3423.612,"881.40025_2.726853"
19354,192.1144,2.727015,NA,NA,0,TRUE,NA,3.80118130299425,6326.75916666667,6529.158,9915.034,4456.537,6833.541,4007.623,6218.662,"192.1144_2.727015"
8147,447.187666666667,2.72716966666667,NA,NA,0,TRUE,NA,4.8849199344292,76722.0033333333,72809.4,73853.84,84285.32,73811.84,75571.63,79999.99,"447.187666666667_2.72716966666667"
18710,623.2918,2.727232,NA,NA,0,TRUE,NA,3.91046630857561,8137.03733333333,9648.639,9060.617,8966.73,13026.97,3488.152,4631.116,"623.2918_2.727232"
20388,448.232,2.727423,NA,NA,0,TRUE,NA,3.82191983704406,6636.20566666667,3954.757,4904.89,8455.935,6395.234,7184.988,8921.43,"448.232_2.727423"
7074,161.064,2.727637,"C7H14O2S","Ethyl 4-(methylthio)butyrate",1.44245670863971,TRUE,NA,4.95567724952633,90297.8166666667,113208.9,91106.37,104707.1,77975.29,80360.52,74428.72,"C7H14O2S_Ethyl 4-(methylthio)butyrate_2.727637"
4566,265.1296,2.727648,NA,NA,0,TRUE,"HCOOH(2.30625359772734) of 20351",4.83547587551797,68466.145,56672.08,70260.26,59646.24,61999.68,65384.61,96834,"artifact_265.1296_2.727648"
18648,541.22895,2.727992,"C26H38O12","Cinncassiol C1 19-glucoside",0,TRUE,NA,4.12117248302226,13218.205,13138.44,10011.94,20508.1,12834.8,10075.93,12740.02,"C26H38O12_Cinncassiol C1 19-glucoside_2.727992"
19506,463.1833,2.72821,NA,NA,0,TRUE,NA,4.2438611290056,17533.1976666667,36260.24,31546.32,8793.397,11273.68,5381.879,11943.67,"463.1833_2.72821"
12170,364.1619,2.728585,NA,NA,0,FALSE,NA,4.47387143633343,29776.3483333333,29937.61,47900.33,32284.18,19371.43,31722.75,17441.79,"364.1619_2.728585"
476,423.2968,2.728587,NA,NA,0,TRUE,NA,6.39094452259984,2460053.33333333,2461194,2437501,2372836,2550034,2488411,2450344,"423.2968_2.728587"
191,159.0847,2.72859,"C8H16OS","2-Methyl-4-propyl-1,3-oxathiane",0,TRUE,NA,6.85266253787287,7122993.33333333,8625737,7563300,7840228,6714594,6501134,5492967,"C8H16OS_2-Methyl-4-propyl-1,3-oxathiane_2.72859"
22311,177.0953,2.728592,"C8H18O2S","Methional diethyl acetal",0,TRUE,NA,3.84642058103423,7021.34933333333,9330.592,10630.69,6853.762,3603.776,7217.52,4491.756,"C8H18O2S_Methional diethyl acetal_2.728592"
18026,159.1492,2.728595,NA,NA,0,TRUE,NA,4.29087651169404,19537.8383333333,20543.01,14165.74,24484.17,14322.24,26619.81,17092.06,"159.1492_2.728595"
17708,427.2822,2.728597,NA,NA,0,TRUE,"13C(2.79242289726185) of 1378; 18O(2.17767928752446) of 386; C2H4O2/3(1.85374277883234) of 19721",4.42501647556207,26608.26,14144.75,24075.3,23147.66,27239.86,30790.79,40251.2,"artifact_427.2822_2.728597"
22155,459.18765,2.728952,NA,NA,1.51989240442355,TRUE,NA,4.74230783540956,55246.89,63156.04,63940.84,60437.95,42743.77,48216.52,52986.22,"459.18765_2.728952"
19496,202.1369,2.729054,NA,NA,0,FALSE,NA,3.74163260318415,5516.106,2260,195,153,14256.03,9409.596,6823.01,"202.1369_2.729054"
16949,601.2505,2.729337,"C29H38N4O10","Lymecycline",0,TRUE,NA,4.04072682925073,10983.1478333333,14908.52,17486.97,13256.83,4181.427,9465.374,6599.766,"C29H38N4O10_Lymecycline_2.729337"
1468,160.088,2.72955,NA,NA,0,TRUE,"13C(2.97714745346457) of 191",5.7377476042626,546698.15,678245.9,560020.6,583056.1,511301.3,501405.3,446159.7,"artifact_160.088_2.72955"
11725,480.2899,2.729552,NA,NA,2.21068727943746,TRUE,"13C(2.98482208124055) of 3972",4.5124045800768,32539.0283333333,47138.52,50923.83,50564.72,13027.78,19908.49,13670.83,"artifact_480.2899_2.729552"
6315,405.1769,2.729558,NA,NA,2.48950860970603,TRUE,NA,4.87985261525551,75832.0183333333,99413.54,100894.7,89303.19,50458.67,57601.39,57320.62,"405.1769_2.729558"
20084,203.1653,2.729577,NA,NA,0,TRUE,NA,3.69678755633958,4974.93666666667,3404.568,5072.683,3644.521,5819.636,6605.92,5302.292,"203.1653_2.729577"
16085,665.3019,2.729646,NA,NA,0,TRUE,NA,4.35889656272841,22850.545,22301.23,25052.43,27786.47,21338,21662.76,18962.38,"665.3019_2.729646"
19864,406.1802,2.729675,NA,NA,0,TRUE,"13C(2.89828813124687) of 6315",4.02422192545384,10573.5768333333,11939.55,19245.09,13414.01,4038.339,6452.241,8352.231,"artifact_406.1802_2.729675"
8930,556.3261,2.7296855,NA,NA,1.365956232962,FALSE,NA,4.54825697805195,35339.2215,4559.409,103,911,71408.73,74842.09,60211.1,"556.3261_2.7296855"
14811,448.1909,2.729742,NA,NA,0,TRUE,NA,4.04374084004209,11059.6361666667,17443.37,19487.2,10602.14,4191.192,4715.33,9918.585,"448.1909_2.729742"
1268,201.1246,2.730454,"C9H18N2O3","Alanyl-Isoleucine",3.35449913242756,FALSE,NA,5.59156844517388,390452.713333333,41901.59,38460.96,49314.53,790165.8,749716.7,673156.7,"C9H18N2O3_Alanyl-Isoleucine_2.730454"
