rt,mz,lg(signal),N,C,score,feature,adduct name,db_formula,id
14.10155,580.9381,4.823893171,2,9,0.976401783,Adduct,H3PO4,,6633
14.1408,447.031,4.111413111,0,9,0.904600665,Adduct,H3PO4,,11273
13.2327,354.0001,4.91926557,1,8,0.960512691,Adduct,H3PO4,,5542
13.23586,451.9772,4.545539781,1,8,0.894229979,Adduct,H3PO4,,8425
14.07888,477.9919,3.993387569,1,8,0.894612497,Adduct,H3PO4,,11770
14.03667,319.0436,5.051279499,0,8,0.990556583,Adduct,H3PO4,,4389
13.9768,383.0263,5.027390958,2,7,0.979045177,Adduct,H3PO4,,4480
13.37557,271.0703,4.949538241,2,7,0.879764912,Adduct,H3PO4,,5071
14.46766,287.0652,4.295222569,2,7,0.980168055,Adduct,H3PO4,,10777
13.16174,421.9667,4.686183301,1,7,0.881228508,Adduct,H3PO4,,8143
13.15183,286.0336,4.475275931,1,7,0.9808102,Adduct,H3PO4,,9472
13.94857,350.9888,5.459310107,0,7,0.979343352,Adduct,H3PO4,,1763
13.98621,387.0101,5.41230398,0,7,0.994688446,Adduct,H3PO4,,2116
13.98307,384.9943,5.149460867,0,7,0.960789445,Adduct,H3PO4,,3407
13.97052,484.9867,4.59775873,0,7,0.933020918,Adduct,H3PO4,,6857
13.47686,272.0655,4.430316744,3,6,0.858656234,Adduct,H3PO4,,9804
13.99563,356.0154,5.145894297,1,6,0.943142183,Adduct,H3PO4,,3627
14.00193,453.9923,4.377823346,1,6,0.846277677,Adduct,H3PO4,,8141
14.04303,356.9994,6.472888078,0,6,0.994364835,Adduct,H3PO4,,316
14.03669,454.9763,5.65313481,0,6,0.992952078,Adduct,H3PO4,,1299
14.05258,372.9943,5.260119587,0,6,0.911663923,Adduct,H3PO4,,2473
14.1604,436.9657,4.915087343,0,6,0.943310174,Adduct,H3PO4,,5741
14.02719,552.9531,4.913376826,0,6,0.976112386,Adduct,H3PO4,,5626
13.96424,456.9919,4.880705291,0,6,0.963988855,Adduct,H3PO4,,5463
11.60235,241.012,4.594736425,0,6,0.963599445,Adduct,H3PO4,,7857
14.03984,470.971,4.347958768,0,6,0.870637788,Adduct,H3PO4,,8645
14.15059,534.9425,4.34632233,0,6,0.973792289,Adduct,H3PO4,,9759
13.25182,243.0388,5.930694139,2,5,0.974086491,Adduct,H3PO4,,813
13.37873,380.9592,5.430751999,2,5,0.842521865,Adduct,H3PO4,,2145
13.24867,341.0159,5.202646721,2,5,0.961216175,Adduct,H3PO4,,3122
13.35975,478.9362,5.167736203,2,5,0.831879088,Adduct,H3PO4,,3534
13.2773,438.993,5.114787474,2,5,0.958935075,Adduct,H3PO4,,3794
13.26458,536.97,4.851760426,2,5,0.943008899,Adduct,H3PO4,,5733
13.35976,283.983,4.840456464,2,5,0.829547667,Adduct,H3PO4,,5738
13.38505,436.9259,4.604102287,2,5,0.760294154,Adduct,H3PO4,,7930
13.39138,578.9114,4.444786794,2,5,0.898655961,Adduct,H3PO4,,8570
13.24547,634.9468,4.356653062,2,5,0.866005334,Adduct,H3PO4,,10052
13.36608,379.9559,6.450168194,1,5,0.994900999,Adduct,H3PO4,,322
13.3629,244.0229,6.203717164,1,5,0.989899004,Adduct,H3PO4,,490
13.3724,477.9328,6.102991447,1,5,0.992793642,Adduct,H3PO4,,594
13.37241,575.9097,5.783412095,1,5,0.987261597,Adduct,H3PO4,,1090
13.36923,435.9223,5.594851059,1,5,0.992116856,Adduct,H3PO4,,1446
13.35973,673.8867,5.542822098,1,5,0.977294652,Adduct,H3PO4,,1783
13.36924,479.9121,5.408271115,1,5,0.992587229,Adduct,H3PO4,,2248
13.35341,533.8992,5.3847006,1,5,0.993547642,Adduct,H3PO4,,2292
13.36608,577.8891,5.346608585,1,5,0.990538075,Adduct,H3PO4,,2436
13.36924,365.9401,5.315121561,1,5,0.981723321,Adduct,H3PO4,,2794
13.36923,675.866,5.292573332,1,5,0.994060224,Adduct,H3PO4,,2631
13.37556,811.7985,5.225957799,1,5,0.990654351,Adduct,H3PO4,,3106
13.3819,771.8636,5.194748614,1,5,0.962035238,Adduct,H3PO4,,3289
13.37241,675.8847,5.140228741,1,5,0.951107282,Adduct,H3PO4,,3763
13.35975,463.9171,5.04977145,1,5,0.989774931,Adduct,H3PO4,,4151
13.36606,437.9203,5.036036295,1,5,0.961477499,Adduct,H3PO4,,4123
13.38506,909.7751,4.99889076,1,5,0.979975716,Adduct,H3PO4,,4614
13.35975,631.8762,4.992527658,1,5,0.990769966,Adduct,H3PO4,,4141
13.37557,813.7968,4.985857243,1,5,0.966362696,Adduct,H3PO4,,4844
13.39139,677.8641,4.938254895,1,5,0.974320438,Adduct,H3PO4,,4849
13.37874,535.8973,4.93684775,1,5,0.963276237,Adduct,H3PO4,,4881
13.35975,579.8871,4.923244128,1,5,0.974679149,Adduct,H3PO4,,5114
13.37557,773.8621,4.873486737,1,5,0.943486384,Adduct,H3PO4,,6323
13.38506,481.9101,4.838752254,1,5,0.964087015,Adduct,H3PO4,,5786
13.39139,869.8398,4.780590022,1,5,0.950124188,Adduct,H3PO4,,7419
13.36292,911.7742,4.74013357,1,5,0.952830115,Adduct,H3PO4,,7145
13.37241,561.8939,4.715311537,1,5,0.982201264,Adduct,H3PO4,,7455
13.37241,367.9383,4.623982738,1,5,0.927108003,Adduct,H3PO4,,8222
13.38505,633.8747,4.564551457,1,5,0.955971838,Adduct,H3PO4,,9842
13.39137,911.7531,4.541746099,1,5,0.921392431,Adduct,H3PO4,,8416
13.37554,871.8388,4.407974162,1,5,0.879851849,Adduct,H3PO4,,9203
