rt,mz,lg(signal),N,C,score,feature,adduct name,db_formula,ID
4.6537,376.3069,4.803433845,1,18,0.938850604,Adduct,CH3COOH,,6783
4.277584,332.2806,3.958760546,1,16,0.879443404,Adduct,CH3COOH,,12485
4.150961,360.3121,3.726822605,1,18,0.910426257,Adduct,CH3COOH,,13008
2.701556,360.276,4.578408591,1,16,0.887018683,Adduct,CH3COOH,,7458
16.72122,413.0965,3.149256913,4,12,0.908794327,Adduct,CH3COONa,,14524
16.10489,253.0783,3.863029912,2,5,0.883411834,Adduct,CH3COONa,,13467
16.10461,213.0857,4.782162285,2,5,0.89529531,Adduct,CH3COONa,,7327
15.87501,236.0654,3.832952342,3,6,0.995729697,Adduct,CH3COONa,,13168
14.45541,419.0043,4.722497201,4,7,0.868330162,Adduct,CH3COONa,,7715
14.12998,204.9883,3.950443789,0,2,0.832142845,Adduct,CH3COONa,,8109
14.11348,286.9916,3.810211502,0,2,0.841350706,Adduct,CH3COONa,,13867
14.11014,324.0831,4.69283897,1,5,0.969174077,Adduct,CH3COONa,,8400
14.11011,326.0623,3.980879186,1,5,0.937668365,Adduct,CH3COONa,,12518
14.00586,423.0289,4.928430724,0,6,0.932718524,Adduct,CH3COONa,,5156
14.00541,401.0467,4.364423167,0,8,0.985277783,Adduct,CH3COONa,,9656
13.99551,242.9653,4.917730566,0,2,0.864303221,Adduct,CH3COONa,,6080
13.97575,410.9457,4.274174949,0,6,0.847953286,Adduct,CH3COONa,,10614
13.95921,730.0368,4.119361222,5,16,0.845210337,Adduct,CH3COONa,,11645
13.95917,371.036,4.391721044,0,7,0.980244722,Adduct,CH3COONa,,9371
13.95915,527.0133,4.294395008,0,6,0.8304001,Adduct,CH3COONa,,11275
13.89686,310.0312,3.967974515,0,5,0.978285002,Adduct,CH3COONa,,11688
13.88335,401.0918,4.242799858,2,11,0.983418383,Adduct,CH3COONa,,10793
13.86993,505.1152,4.324410001,0,11,0.921887195,Adduct,CH3COONa,,10125
13.85364,329.9744,4.128180598,1,4,0.895595077,Adduct,CH3COONa,,10340
13.8468,311.0152,4.566688326,0,5,0.969711093,Adduct,CH3COONa,,8806
13.83708,744.1047,4.271463108,7,21,0.978801513,Adduct,CH3COONa,,10196
13.57286,251.9893,4.270919249,1,4,0.950035742,Adduct,CH3COONa,,10492
13.26977,320.9872,4.308178019,2,5,0.845088965,Adduct,CH3COONa,,10339
13.2164,213.0493,4.60576449,2,4,0.7974173,Adduct,CH3COONa,,7234
13.16991,395.1159,4.465425418,4,10,0.806888648,Adduct,CH3COONa,,9307
13.08242,280.0415,4.012743423,1,6,0.944891581,Adduct,CH3COONa,,12625
12.95423,440.0463,3.543791609,1,10,0.930639977,Adduct,CH3COONa,,14175
12.95364,200.054,5.111084995,1,4,0.986572765,Adduct,CH3COONa,,4383
12.95002,319.0647,3.985088137,0,8,0.934698746,Adduct,CH3COONa,,12701
12.90138,364.0603,3.851451822,1,4,0.928261861,Adduct,CH3COONa,,13336
12.81376,316.0002,3.89845576,1,3,0.944612577,Adduct,CH3COONa,,12507
12.80713,404.0586,3.808768775,3,9,0.928286294,Adduct,CH3COONa,,11948
12.79727,281.0732,4.0040269,2,6,0.927006281,Adduct,CH3COONa,,12546
12.79063,331.0025,3.828772807,0,5,0.904146736,Adduct,CH3COONa,,7268
12.78411,328.0328,3.83015382,1,3,0.955796005,Adduct,CH3COONa,,12330
12.78408,170.0435,5.952439593,1,3,0.997222307,Adduct,CH3COONa,,871
12.78407,288.9919,4.083699082,0,5,0.956142547,Adduct,CH3COONa,,11637
12.76701,292.0394,4.045681495,1,3,0.933041942,Adduct,CH3COONa,,12554
12.76435,210.0359,4.710246899,1,3,0.99571614,Adduct,CH3COONa,,7588
12.75114,252.0466,4.466790532,1,3,0.995328453,Adduct,CH3COONa,,9358
12.7078,358.0111,3.884284643,1,3,0.952930133,Adduct,CH3COONa,,12259
12.01798,360.0656,3.638055667,1,7,0.92783781,Adduct,CH3COONa,,13570
11.62259,359.1196,7.416503335,0,12,0.988544135,Adduct,CH3COONa,,75
11.08269,255.06,4.513656351,2,5,0.846525071,Adduct,CH3COONa,,8994
10.92695,198.0748,5.221811955,1,5,0.939839661,Adduct,CH3COONa,,3642
10.91631,314.0236,3.639161834,1,5,0.845931359,Adduct,CH3COONa,,13701
9.831145,305.0756,3.823093211,2,10,0.980067809,Adduct,CH3COONa,,4101
9.714322,210.0384,4.359417329,1,5,0.853031274,Adduct,CH3COONa,,10423
